block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1288948,5.00000000,0.00000000,5.00000000,5.00000000,1,5.00000000
1288952,5.00000000,6.00000000,-1.00000000,4.00000000,2,6.00000000
1288973,5.00000000,6.25000000,-1.25000000,2.75000000,2,6.00000000
1288974,5.00000000,6.25000000,-1.25000000,1.50000000,3,6.00000000
1288976,5.00000000,6.25000000,-1.25000000,0.25000000,3,6.00000000
1288983,5.00000000,0.25000000,4.75000000,5.00000000,3,5.00000000
1288984,5.00000000,6.25000000,-1.25000000,3.75000000,3,6.00000000
1288991,5.00000000,6.25000000,-1.25000000,2.50000000,3,6.00000000
1288998,5.00000000,6.25000000,-1.25000000,1.25000000,4,6.00000000
1289002,5.00000000,0.25000000,4.75000000,6.00000000,4,5.00000000
1289008,5.00000000,6.25000000,-1.25000000,4.75000000,5,6.00000000
1289011,5.00000000,6.25000000,-1.25000000,3.50000000,6,6.00000000
1289012,5.00000000,6.25000000,-1.25000000,2.25000000,6,6.00000000
1289013,5.00000000,6.25000000,-1.25000000,1.00000000,6,6.00000000
1289015,5.00000000,0.25000000,4.75000000,5.75000000,6,5.00000000
1289017,5.00000000,6.25000000,-1.25000000,4.50000000,6,6.00000000
1289018,5.00000000,6.25000000,-1.25000000,3.25000000,6,6.00000000
1289019,5.00000000,6.25000000,-1.25000000,2.00000000,6,6.00000000
1289020,5.00000000,6.25000000,-1.25000000,0.75000000,6,6.00000000
1289024,5.00000000,0.25000000,4.75000000,5.50000000,6,5.00000000
1289029,5.00000000,6.25000000,-1.25000000,4.25000000,6,6.00000000
1289034,10.00000000,12.50000000,-2.50000000,1.75000000,6,6.00000000
1289039,5.00000000,6.25000000,-1.25000000,0.50000000,6,6.00000000
1289040,5.00000000,0.25000000,4.75000000,5.25000000,6,5.00000000
1289042,5.00000000,6.25000000,-1.25000000,4.00000000,6,6.00000000
1289047,5.00000000,6.25000000,-1.25000000,2.75000000,6,6.00000000
1289051,5.00000000,6.25000000,-1.25000000,1.50000000,6,6.00000000
1289129,5.00000000,6.25000000,-1.25000000,0.25000000,6,6.00000000
1289132,5.00000000,0.25000000,4.75000000,5.00000000,6,5.00000000
1289145,5.00000000,6.25000000,-1.25000000,3.75000000,6,6.00000000
1289148,5.00000000,6.25000000,-1.25000000,2.50000000,6,6.00000000
1289154,5.00000000,6.25000000,-1.25000000,1.25000000,6,6.00000000
1289158,5.00000000,0.25000000,4.75000000,6.00000000,6,5.00000000
1289161,5.00000000,6.25000000,-1.25000000,4.75000000,6,6.00000000
1289170,5.00000000,6.25000000,-1.25000000,3.50000000,6,6.00000000
1289172,5.00000000,6.25000000,-1.25000000,2.25000000,6,6.00000000
1289179,5.00000000,6.25000000,-1.25000000,1.00000000,6,6.00000000
1289186,5.00000000,0.25000000,4.75000000,5.75000000,7,5.00000000
1289188,5.00000000,6.25000000,-1.25000000,4.50000000,7,6.00000000
1289189,2.00000000,6.10000000,-4.10000000,0.40000000,7,6.00000000
1289193,5.00000000,0.25000000,4.75000000,5.15000000,7,5.00000000
1289194,10.00000000,12.50000000,-2.50000000,2.65000000,7,6.00000000
