block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1284491,3.00000000,0.03000000,2.97000000,2.97000000,2,3.00000000
1286540,0.10000000,0.00100000,0.09900000,3.06900000,2,0.10000000
1287085,0.50000000,0.00500000,0.49500000,3.56400000,3,0.50000000
1291829,0.10000000,0.03700000,0.06300000,3.62700000,3,0.10000000
1292090,12.00000000,0.12000000,11.88000000,15.50700000,3,12.00000000
1292321,0.99000000,0.00990000,0.98010000,16.48710000,4,0.99000000
1295521,0.10000000,0.00100000,0.09900000,16.58610000,5,0.10000000
1300394,0.10000000,0.16890000,-0.06890000,16.51720000,5,0.12000000
1311128,0.20000000,0.17090000,0.02910000,16.54630000,5,0.20000000
1315772,0.10000000,0.17190000,-0.07190000,16.47440000,5,0.12000000
1323094,0.10000000,0.17290000,-0.07290000,16.40150000,5,0.12000000
1323764,5.00000000,0.05000000,4.95000000,21.35150000,6,5.00000000
1328868,0.10000000,0.22390000,-0.12390000,21.22760000,6,0.12000000
1334835,0.10000000,0.22490000,-0.12490000,21.10270000,6,0.12000000
1340869,0.10000000,0.15800000,-0.05800000,21.04470000,6,0.12000000
1379457,0.01000000,0.00000000,0.01000000,21.05470000,7,0.01000000
1379461,0.10000000,0.22590000,-0.12590000,20.92880000,7,0.12000000
1444506,0.10000000,0.00100000,0.09900000,21.02780000,7,0.10000000
1500014,0.10000000,0.22790000,-0.12790000,20.89990000,7,0.12000000
5340541,0.00000000,0.00000000,0.00000000,20.89990000,8,0.00000000
5340567,0.00000000,0.00000000,0.00000000,20.89990000,9,0.00000000
