block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3494963,0.01100000,0.01100000,0.00000000,0.00000000,2,0.01100000
3497013,0.02000000,0.00000000,0.02000000,0.02000000,4,0.00800000
3497045,0.00000000,0.01960000,-0.01960000,0.00040000,4,0.01960000
3497201,0.00900000,0.00000000,0.00900000,0.00940000,5,0.00500000
3497217,0.00900000,0.00000000,0.00900000,0.01840000,5,0.00600000
3497229,0.00000000,0.01764000,-0.01764000,0.00076000,5,0.01764000
3497834,0.05000000,0.00000000,0.05000000,0.05076000,5,0.01000000
3497845,0.00000000,0.04900000,-0.04900000,0.00176000,5,0.04900000
3498048,0.00200000,0.00000000,0.00200000,0.00376000,5,0.00200000
3498055,0.00000000,0.00196000,-0.00196000,0.00180000,5,0.00196000
3498113,0.03800000,0.00000000,0.03800000,0.03980000,6,0.01000000
3498144,0.00000000,0.03980000,-0.03980000,-0.00000000,6,0.03724000
3499957,0.00700000,0.00000000,0.00700000,0.00700000,6,0.00500000
3499968,0.00700000,0.00000000,0.00700000,0.01400000,6,0.00500000
3499978,0.00000000,0.01372000,-0.01372000,0.00028000,6,0.01372000
3500914,0.02900000,0.00000000,0.02900000,0.02928000,7,0.00600000
3500919,0.01600000,0.00000000,0.01600000,0.04528000,7,0.01000000
3500924,0.00000000,0.04410000,-0.04410000,0.00118000,7,0.03136000
3501025,0.01100000,0.00000000,0.01100000,0.01218000,7,0.00500000
3501061,0.01100000,0.00000000,0.01100000,0.02318000,7,0.00500000
3501068,0.00000000,0.02156000,-0.02156000,0.00162000,7,0.02156000
3504274,0.01100000,0.00000000,0.01100000,0.01262000,8,0.00900000
3504285,0.01100000,0.00000000,0.01100000,0.02362000,8,0.00900000
3504309,0.00000000,0.02362000,-0.02362000,-0.00000000,8,0.02156000
3505557,0.02200000,0.00000000,0.02200000,0.02200000,8,0.01000000
3505558,0.00200000,0.00000000,0.00200000,0.02400000,8,0.00200000
3505559,0.01000000,0.00000000,0.01000000,0.03400000,8,0.01000000
3505561,0.01000000,0.00000000,0.01000000,0.04400000,8,0.01000000
3505585,0.00000000,0.04312000,-0.04312000,0.00088000,8,0.04312000
3505599,0.03400000,0.00000000,0.03400000,0.03488000,8,0.01000000
3505603,0.02400000,0.03332000,-0.00932000,0.02556000,8,0.03332000
3505631,0.00000000,0.02556000,-0.02556000,0.00000000,8,0.02352000
3505651,0.04400000,0.00000000,0.04400000,0.04400000,9,0.01000000
3505654,0.03300000,0.00000000,0.03300000,0.07700000,9,0.01000000
3505660,0.01300000,0.05880000,-0.04580000,0.03120000,9,0.04312000
3505676,0.00000000,0.02940000,-0.02940000,0.00180000,9,0.02940000
3505721,0.01600000,0.00000000,0.01600000,0.01780000,9,0.00500000
3505723,0.01600000,0.00000000,0.01600000,0.03380000,9,0.01000000
3505729,0.00000000,0.03136000,-0.03136000,0.00244000,9,0.03136000
3505881,0.01400000,0.00000000,0.01400000,0.01644000,9,0.00600000
3505884,0.00500000,0.00000000,0.00500000,0.02144000,9,0.00500000
3505891,0.01900000,0.00000000,0.01900000,0.04044000,9,0.00700000
3505907,0.00000000,0.04044000,-0.04044000,0.00000000,9,0.03724000
3506100,0.04000000,0.00000000,0.04000000,0.04000000,9,0.01000000
3506121,0.00000000,0.03920000,-0.03920000,0.00080000,9,0.02548000
3506132,0.00400000,0.00000000,0.00400000,0.00480000,9,0.00200000
3506150,0.00000000,0.00392000,-0.00392000,0.00088000,9,0.00392000
3506155,0.05000000,0.00000000,0.05000000,0.05088000,9,0.01000000
3506162,0.01400000,0.04900000,-0.03500000,0.01588000,9,0.02548000
3506169,0.00000000,0.01588000,-0.01588000,0.00000000,9,0.01372000
