block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1286690,0.01000000,0.00000000,0.01000000,0.01000000,1,0.01000000
1289407,0.05790435,0.02000000,0.03790435,0.04790435,2,0.05790435
1290549,0.00828420,0.00000000,0.00828420,0.05618855,3,0.00828420
1292564,0.00174823,0.00000000,0.00174823,0.05793678,4,0.00174823
1292587,1.42207590,0.14590600,1.27616990,1.33410668,4,1.42207590
1292596,0.11354822,0.00000000,0.11354822,1.44765490,4,0.11354822
1305494,0.00318446,0.00000000,0.00318446,1.45083936,4,0.00318446
1305502,0.02269224,0.00000000,0.02269224,1.47353160,4,0.02269224
1305515,0.41747244,0.00000000,0.41747244,1.89100404,4,0.41747244
1307472,0.19695725,0.00000000,0.19695725,2.08796129,4,0.19695725
1314687,0.19453708,2.13311384,-1.93857676,0.14938452,4,2.13311384
1314694,0.50000000,0.25932465,0.24067535,0.39005988,4,0.50000000
1314702,0.20212632,0.00000000,0.20212632,0.59218619,4,0.20212632
1314711,0.00749313,0.00000000,0.00749313,0.59967932,4,0.00749313
1314724,0.04322412,0.00000000,0.04322412,0.64290344,4,0.04322412
1314728,1.62636360,1.45614019,0.17022342,0.81312686,4,1.62636360
1314774,0.16000000,0.90000000,-0.74000000,0.07312686,4,0.90000000
