block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4034846,0.50000000,0.00000000,0.50000000,0.50000000,1,0.50000000
4034847,0.50000000,0.00000000,0.50000000,1.00000000,1,0.50000000
4034901,3.99000000,0.00000000,3.99000000,4.99000000,2,3.99000000
4035042,1.00000000,0.00000000,1.00000000,5.99000000,3,1.00000000
4035192,0.01000000,0.00000000,0.01000000,6.00000000,4,0.01000000
4035200,3.98000000,0.00000000,3.98000000,9.98000000,4,3.98000000
4035205,0.05170344,0.00000000,0.05170344,10.03170344,5,0.05170344
4035210,7.94000000,0.00000000,7.94000000,17.97170344,6,4.00000000
4035228,0.99800000,0.00000000,0.99800000,18.96970344,7,0.99800000
4035264,0.01000000,0.00000000,0.01000000,18.97970344,7,0.01000000
4035267,2.00000000,0.00000000,2.00000000,20.97970344,8,2.00000000
4035289,0.25000000,0.00000000,0.25000000,21.22970344,9,0.25000000
4035329,0.30000000,0.00000000,0.30000000,21.52970344,10,0.30000000
4035352,0.22000000,0.00000000,0.22000000,21.74970344,10,0.22000000
4035378,0.01500000,0.00000000,0.01500000,21.76470344,11,0.01500000
4035442,0.36000000,0.00000000,0.36000000,22.12470344,12,0.36000000
4035468,1.00000000,0.00000000,1.00000000,23.12470344,13,1.00000000
4035552,0.01200000,0.00000000,0.01200000,23.13670344,14,0.01200000
4035579,0.10000000,0.00000000,0.10000000,23.23670344,14,0.10000000
4035612,0.09610597,0.00000000,0.09610597,23.33280942,14,0.09610597
4035616,0.76463600,0.00000000,0.76463600,24.09744542,15,0.76463600
4035692,5.00000000,0.00000000,5.00000000,29.09744542,16,5.00000000
4035806,0.19000000,0.00000000,0.19000000,29.28744542,17,0.19000000
4036034,5.00000000,0.00000000,5.00000000,34.28744542,18,5.00000000
4036051,0.50000000,0.00000000,0.50000000,34.78744542,19,0.50000000
4036332,0.10000000,0.00000000,0.10000000,34.88744542,20,0.10000000
4036393,0.47900000,0.00000000,0.47900000,35.36644542,21,0.47900000
4036478,0.20000000,0.00000000,0.20000000,35.56644542,22,0.20000000
4036489,0.80000000,0.00000000,0.80000000,36.36644542,22,0.80000000
4036582,1.20000000,0.00000000,1.20000000,37.56644542,22,1.20000000
4036620,0.00090000,0.00000000,0.00090000,37.56734542,23,0.00090000
4036969,0.25000000,0.00000000,0.25000000,37.81734542,24,0.25000000
4037047,3.00000000,0.00000000,3.00000000,40.81734542,25,3.00000000
4037326,0.01000000,0.00000000,0.01000000,40.82734542,26,0.01000000
4037352,1.00500000,0.00000000,1.00500000,41.83234542,27,1.00500000
4037525,0.03000000,0.00000000,0.03000000,41.86234542,28,0.03000000
4037800,0.04500000,0.00000000,0.04500000,41.90734542,29,0.04500000
4037989,2.00000000,0.00000000,2.00000000,43.90734542,30,2.00000000
4037998,2.00000000,0.00000000,2.00000000,45.90734542,30,2.00000000
4038004,0.10000000,0.00000000,0.10000000,46.00734542,31,0.10000000
4038012,2.00000000,0.00000000,2.00000000,48.00734542,31,2.00000000
4038036,0.40000000,0.00000000,0.40000000,48.40734542,31,0.40000000
4038384,0.25100000,0.00000000,0.25100000,48.65834542,32,0.25100000
4038702,1.00600000,0.00000000,1.00600000,49.66434542,33,1.00600000
4038722,0.10000000,0.00000000,0.10000000,49.76434542,34,0.10000000
4038739,0.06000000,0.00000000,0.06000000,49.82434542,34,0.06000000
4038908,20.00000000,0.00000000,20.00000000,69.82434542,35,20.00000000
4039268,1.00000000,0.00000000,1.00000000,70.82434542,36,1.00000000
4039437,0.30000000,0.00000000,0.30000000,71.12434542,37,0.30000000
4039522,0.20000000,0.00000000,0.20000000,71.32434542,38,0.20000000
4039529,2.70000000,0.00000000,2.70000000,74.02434542,38,2.70000000
4039532,0.09020562,0.00000000,0.09020562,74.11455103,38,0.09020562
4039558,6.99000000,0.00000000,6.99000000,81.10455103,38,6.99000000
4039594,9.98000000,0.00000000,9.98000000,91.08455103,38,9.98000000
4039757,1.00000000,0.00000000,1.00000000,92.08455103,39,1.00000000
4039862,1.00000000,0.00000000,1.00000000,93.08455103,40,1.00000000
4039883,0.00500000,0.00000000,0.00500000,93.08955103,41,0.00500000
4039961,4.99000000,0.00000000,4.99000000,98.07955103,42,4.99000000
4039969,4.99000000,0.00000000,4.99000000,103.06955103,42,4.99000000
