block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4225268,0.00100000,0.00080000,0.00020000,0.00020000,2,0.00100000
4225382,0.00100000,0.00000000,0.00100000,0.00120000,3,0.00100000
4225383,0.00200000,0.00000000,0.00200000,0.00320000,3,0.00100000
4225386,0.00400000,0.00160000,0.00240000,0.00560000,3,0.00200000
4225399,0.00100000,0.00100000,0.00000000,0.00560000,3,0.00100000
4227067,0.00100000,0.00100000,0.00000000,0.00560000,3,0.00100000
4227086,0.00400000,0.00320000,0.00080000,0.00640000,3,0.00400000
4227133,0.00100000,0.00100000,0.00000000,0.00640000,3,0.00100000
4227151,0.00200000,0.00100000,0.00100000,0.00740000,3,0.00100000
4227182,0.00400000,0.00320000,0.00080000,0.00820000,3,0.00400000
4227192,0.00400000,0.00320000,0.00080000,0.00900000,3,0.00400000
4227264,0.00400000,0.00320000,0.00080000,0.00980000,3,0.00400000
4227279,0.00100000,0.00100000,0.00000000,0.00980000,3,0.00100000
4227311,0.00100000,0.00100000,0.00000000,0.00980000,3,0.00100000
4227314,0.00100000,0.00100000,0.00000000,0.00980000,3,0.00100000
4227412,0.00100000,0.00100000,0.00000000,0.00980000,3,0.00100000
4227445,0.00800000,0.00640000,0.00160000,0.01140000,4,0.00400000
4227463,0.00100000,0.00100000,0.00000000,0.01140000,4,0.00100000
4227477,0.00100000,0.00100000,0.00000000,0.01140000,4,0.00100000
4227488,0.00400000,0.00320000,0.00080000,0.01220000,4,0.00400000
4227502,0.00100000,0.00100000,0.00000000,0.01220000,4,0.00100000
4227567,0.00400000,0.00320000,0.00080000,0.01300000,4,0.00400000
4228489,0.00100000,0.00100000,0.00000000,0.01300000,4,0.00100000
4228494,0.00200000,0.00200000,0.00000000,0.01300000,4,0.00100000
4228501,0.00100000,0.00100000,0.00000000,0.01300000,4,0.00100000
4229878,0.00100000,0.00000000,0.00100000,0.01400000,5,0.00100000
4231033,0.00400000,0.00320000,0.00080000,0.01480000,5,0.00400000
4231043,0.00400000,0.00320000,0.00080000,0.01560000,5,0.00400000
4231055,0.00800000,0.00640000,0.00160000,0.01720000,5,0.00800000
4231067,0.00400000,0.00320000,0.00080000,0.01800000,5,0.00400000
4231093,0.00400000,0.00320000,0.00080000,0.01880000,5,0.00400000
4231109,0.00100000,0.00100000,0.00000000,0.01880000,5,0.00100000
4231114,0.00100000,0.00100000,0.00000000,0.01880000,5,0.00100000
4231118,0.00100000,0.00100000,0.00000000,0.01880000,5,0.00100000
4231121,0.00100000,0.00100000,0.00000000,0.01880000,5,0.00100000
4231594,0.00200000,0.00200000,0.00000000,0.01880000,5,0.00100000
4234585,0.00400000,0.00320000,0.00080000,0.01960000,6,0.00400000
4234592,0.00100000,0.00100000,0.00000000,0.01960000,6,0.00100000
4234613,0.00100000,0.00100000,0.00000000,0.01960000,6,0.00100000
4235594,0.00100000,0.00000000,0.00100000,0.02060000,7,0.00100000
4235611,0.00100000,0.00000000,0.00100000,0.02160000,7,0.00100000
4235631,0.00100000,0.00000000,0.00100000,0.02260000,7,0.00100000
4235669,0.00100000,0.00000000,0.00100000,0.02360000,7,0.00100000
4235822,0.00100000,0.00100000,0.00000000,0.02360000,7,0.00100000
4237373,0.00800000,0.00640000,0.00160000,0.02520000,8,0.00800000
4237379,0.00100000,0.00100000,0.00000000,0.02520000,8,0.00100000
4237380,0.00300000,0.00000000,0.00300000,0.02820000,8,0.00100000
4237381,0.00400000,0.00320000,0.00080000,0.02900000,8,0.00400000
4237383,0.00100000,0.00100000,0.00000000,0.02900000,8,0.00100000
4237388,0.00500000,0.00420000,0.00080000,0.02980000,8,0.00400000
4237400,0.00100000,0.00000000,0.00100000,0.03080000,8,0.00100000
4237401,0.00800000,0.00320000,0.00480000,0.03560000,8,0.00400000
4237437,0.00400000,0.00320000,0.00080000,0.03640000,8,0.00400000
4237496,0.00400000,0.00320000,0.00080000,0.03720000,8,0.00400000
4237516,0.00100000,0.00100000,0.00000000,0.03720000,8,0.00100000
4237721,0.00100000,0.00100000,0.00000000,0.03720000,8,0.00100000
4237737,0.00100000,0.00000000,0.00100000,0.03820000,8,0.00100000
4237923,0.00400000,0.00320000,0.00080000,0.03900000,8,0.00400000
4237927,0.00100000,0.00100000,0.00000000,0.03900000,8,0.00100000
4237933,0.00400000,0.00320000,0.00080000,0.03980000,8,0.00400000
4237936,0.00100000,0.00100000,0.00000000,0.03980000,8,0.00100000
4237938,0.00100000,0.00100000,0.00000000,0.03980000,8,0.00100000
4237940,0.00100000,0.00100000,0.00000000,0.03980000,8,0.00100000
4237942,0.00100000,0.00100000,0.00000000,0.03980000,8,0.00100000
4237943,0.00100000,0.00100000,0.00000000,0.03980000,8,0.00100000
4237947,0.00100000,0.00100000,0.00000000,0.03980000,8,0.00100000
4237950,0.00100000,0.00100000,0.00000000,0.03980000,8,0.00100000
4237952,0.00100000,0.00100000,0.00000000,0.03980000,8,0.00100000
4237957,0.00100000,0.00100000,0.00000000,0.03980000,8,0.00100000
4237958,0.00100000,0.00100000,0.00000000,0.03980000,8,0.00100000
4237959,0.00100000,0.00100000,0.00000000,0.03980000,8,0.00100000
4238024,0.00100000,0.00100000,0.00000000,0.03980000,8,0.00100000
4238106,0.00500000,0.00420000,0.00080000,0.04060000,8,0.00400000
4238109,0.00100000,0.00100000,0.00000000,0.04060000,8,0.00100000
4238124,0.00100000,0.00000000,0.00100000,0.04160000,8,0.00100000
4238126,0.00100000,0.00000000,0.00100000,0.04260000,8,0.00100000
4238474,0.00100000,0.00100000,0.00000000,0.04260000,8,0.00100000
4238836,0.00600000,0.00320000,0.00280000,0.04540000,8,0.00400000
4238837,0.00100000,0.00100000,0.00000000,0.04540000,8,0.00100000
4238844,0.00600000,0.00420000,0.00180000,0.04720000,8,0.00400000
4238848,0.00200000,0.00100000,0.00100000,0.04820000,8,0.00100000
4238851,0.00200000,0.00100000,0.00100000,0.04920000,8,0.00100000
4238871,0.00200000,0.00100000,0.00100000,0.05020000,8,0.00100000
4238874,0.00100000,0.00100000,0.00000000,0.05020000,8,0.00100000
4238880,0.00100000,0.00000000,0.00100000,0.05120000,8,0.00100000
4238881,0.00400000,0.00100000,0.00300000,0.05420000,8,0.00100000
4238919,0.00400000,0.00320000,0.00080000,0.05500000,8,0.00400000
4238930,0.00100000,0.00100000,0.00000000,0.05500000,8,0.00100000
4238935,0.00100000,0.00100000,0.00000000,0.05500000,8,0.00100000
4239288,0.00400000,0.00320000,0.00080000,0.05580000,8,0.00400000
4239293,0.00400000,0.00320000,0.00080000,0.05660000,8,0.00400000
4239298,0.00400000,0.00320000,0.00080000,0.05740000,8,0.00400000
4239312,0.00800000,0.00640000,0.00160000,0.05900000,8,0.00400000
4239319,0.00400000,0.00320000,0.00080000,0.05980000,8,0.00400000
4239329,0.00800000,0.00640000,0.00160000,0.06140000,8,0.00800000
4240360,0.00400000,0.00320000,0.00080000,0.06220000,8,0.00400000
4240471,0.00100000,0.00100000,0.00000000,0.06220000,8,0.00100000
4240631,0.00300000,0.00300000,0.00000000,0.06220000,8,0.00100000
4240683,0.00100000,0.00100000,0.00000000,0.06220000,8,0.00100000
4242703,0.00100000,0.00100000,0.00000000,0.06220000,8,0.00100000
4242852,0.00100000,0.00100000,0.00000000,0.06220000,8,0.00100000
4242866,0.00100000,0.00100000,0.00000000,0.06220000,8,0.00100000
4242891,0.00200000,0.00200000,0.00000000,0.06220000,8,0.00100000
4242897,0.00200000,0.00200000,0.00000000,0.06220000,8,0.00100000
4242924,0.00200000,0.00100000,0.00100000,0.06320000,8,0.00100000
4242930,0.00200000,0.00100000,0.00100000,0.06420000,8,0.00100000
4242948,0.00200000,0.00200000,0.00000000,0.06420000,8,0.00100000
4242954,0.00100000,0.00100000,0.00000000,0.06420000,8,0.00100000
4242966,0.00100000,0.00100000,0.00000000,0.06420000,8,0.00100000
4243009,0.00100000,0.00100000,0.00000000,0.06420000,8,0.00100000
4243028,0.00100000,0.00100000,0.00000000,0.06420000,8,0.00100000
4243365,0.00400000,0.00320000,0.00080000,0.06500000,9,0.00400000
4249478,0.00100000,0.00100000,0.00000000,0.06500000,9,0.00100000
4249485,0.00500000,0.00320000,0.00180000,0.06680000,9,0.00400000
4249493,0.00500000,0.00420000,0.00080000,0.06760000,9,0.00400000
4249503,0.00100000,0.00100000,0.00000000,0.06760000,9,0.00100000
4249556,0.00100000,0.00100000,0.00000000,0.06760000,9,0.00100000
4249571,0.00100000,0.00100000,0.00000000,0.06760000,9,0.00100000
4249575,0.00100000,0.00100000,0.00000000,0.06760000,9,0.00100000
4249591,0.00100000,0.00000000,0.00100000,0.06860000,9,0.00100000
4249593,0.00100000,0.00100000,0.00000000,0.06860000,9,0.00100000
4249594,0.00500000,0.00420000,0.00080000,0.06940000,10,0.00400000
4249614,0.00100000,0.00100000,0.00000000,0.06940000,10,0.00100000
4251672,0.00100000,0.00100000,0.00000000,0.06940000,10,0.00100000
4251691,0.00100000,0.00100000,0.00000000,0.06940000,10,0.00100000
4251696,0.00100000,0.00100000,0.00000000,0.06940000,10,0.00100000
4251698,0.00200000,0.00200000,0.00000000,0.06940000,10,0.00100000
4253597,0.01600000,0.01280000,0.00320000,0.07260000,10,0.00800000
4253609,0.00800000,0.00640000,0.00160000,0.07420000,10,0.00800000
4253611,0.03200000,0.02560000,0.00640000,0.08060000,10,0.01600000
4253614,0.01600000,0.01280000,0.00320000,0.08380000,10,0.00800000
