block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3949261,0.00500000,0.00000000,0.00500000,0.00500000,1,0.00500000
3951128,0.01000000,0.01000000,0.00000000,0.00500000,2,0.01000000
3954310,0.02000000,0.02000000,0.00000000,0.00500000,3,0.02000000
3954805,0.04000000,0.04000000,0.00000000,0.00500000,4,0.04000000
3954822,0.08000000,0.08000000,0.00000000,0.00500000,5,0.08000000
3954841,0.16000000,0.16000000,0.00000000,0.00500000,6,0.16000000
3954921,0.32000000,0.32000000,0.00000000,0.00500000,7,0.32000000
3954932,0.64000000,0.64000000,0.00000000,0.00500000,8,0.64000000
3958299,1.28000000,1.28000000,0.00000000,0.00500000,9,1.28000000
3962074,2.56000000,0.00000000,2.56000000,2.56500000,10,2.56000000
3966357,2.56000000,2.56000000,0.00000000,2.56500000,11,2.56000000
