block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
2047440,0.00450000,0.00000000,0.00450000,0.00450000,1,0.00450000
2047483,0.00450000,0.00000000,0.00450000,0.00900000,1,0.00450000
2047497,0.00450000,0.00000000,0.00450000,0.01350000,1,0.00450000
2047499,0.00450000,0.00000000,0.00450000,0.01800000,1,0.00450000
2047503,0.00450000,0.00000000,0.00450000,0.02250000,1,0.00450000
2047505,0.00450000,0.00000000,0.00450000,0.02700000,1,0.00450000
2047519,0.00000000,0.02700000,-0.02700000,0.00000000,2,0.02700000
2047582,0.00250000,0.00000000,0.00250000,0.00250000,2,0.00250000
2047584,0.00250000,0.00000000,0.00250000,0.00500000,2,0.00250000
2047599,0.00450000,0.00000000,0.00450000,0.00950000,2,0.00450000
2047601,0.00450000,0.00000000,0.00450000,0.01400000,2,0.00450000
2049649,0.00450000,0.00000000,0.00450000,0.01850000,2,0.00450000
2049651,0.00450000,0.00000000,0.00450000,0.02300000,2,0.00450000
