block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3781682,0.00150000,0.00000000,0.00150000,0.00150000,1,0.00150000
3783269,0.00010000,0.00000000,0.00010000,0.00160000,2,0.00010000
3788277,0.00000000,0.00160000,-0.00160000,0.00000000,3,0.00160000
3788666,0.00055000,0.00000000,0.00055000,0.00055000,4,0.00055000
3788686,0.00005000,0.00000000,0.00005000,0.00060000,5,0.00005000
3788777,0.02500000,0.00000000,0.02500000,0.02560000,6,0.02500000
3788813,0.01570000,0.00000000,0.01570000,0.04130000,7,0.01570000
3788818,0.01070000,0.00000000,0.01070000,0.05200000,8,0.01070000
3788846,0.01570000,0.00000000,0.01570000,0.06770000,9,0.01570000
3788953,0.00250000,0.00000000,0.00250000,0.07020000,10,0.00250000
3789236,0.01160000,0.07020000,-0.05860000,0.01160000,11,0.07020000
3789246,0.01160000,0.00000000,0.01160000,0.02320000,12,0.01160000
3789478,0.02570000,0.00000000,0.02570000,0.04890000,13,0.02570000
3789513,0.02570000,0.00000000,0.02570000,0.07460000,14,0.02570000
3789574,0.01520000,0.00000000,0.01520000,0.08980000,15,0.01520000
3789596,0.02585000,0.00000000,0.02585000,0.11565000,17,0.01555000
3789612,0.00570000,0.00000000,0.00570000,0.12135000,18,0.00570000
3789653,0.01140000,0.00000000,0.01140000,0.13275000,20,0.00570000
3789663,0.01570000,0.00000000,0.01570000,0.14845000,21,0.01570000
3789681,0.00570000,0.00000000,0.00570000,0.15415000,22,0.00570000
3789709,0.00570000,0.00000000,0.00570000,0.15985000,23,0.00570000
3789711,0.01070000,0.00000000,0.01070000,0.17055000,24,0.01070000
3789734,0.00030000,0.00000000,0.00030000,0.17085000,25,0.00030000
3789737,0.00570000,0.00000000,0.00570000,0.17655000,26,0.00570000
3789761,0.00650000,0.00000000,0.00650000,0.18305000,27,0.00650000
3789762,0.01250000,0.00000000,0.01250000,0.19555000,28,0.01250000
3793477,0.00255000,0.00000000,0.00255000,0.19810000,29,0.00255000
3793488,0.00055000,0.00000000,0.00055000,0.19865000,30,0.00055000
3793720,0.00000000,0.19865000,-0.19865000,0.00000000,30,0.19865000
3794458,0.00045000,0.00000000,0.00045000,0.00045000,35,0.00025000
3794460,0.00020000,0.00000000,0.00020000,0.00065000,36,0.00020000
3798993,0.00265000,0.00000000,0.00265000,0.00330000,37,0.00265000
3799008,0.00150000,0.00000000,0.00150000,0.00480000,38,0.00150000
3800740,0.00120050,0.00000000,0.00120050,0.00600050,39,0.00120050
3800901,0.00105000,0.00000000,0.00105000,0.00705050,40,0.00105000
3800925,0.00055000,0.00000000,0.00055000,0.00760050,41,0.00055000
3800928,0.00105500,0.00000000,0.00105500,0.00865550,42,0.00105500
3800934,0.00500000,0.00000000,0.00500000,0.01365550,44,0.00250000
3801611,0.38700000,0.00000000,0.38700000,0.40065550,45,0.38700000
3801615,0.21700000,0.00000000,0.21700000,0.61765550,46,0.21700000
3801655,0.00125000,0.00000000,0.00125000,0.61890550,47,0.00125000
3801659,0.00155000,0.00000000,0.00155000,0.62045550,48,0.00155000
3801696,0.00050000,0.00000000,0.00050000,0.62095550,49,0.00050000
3801735,0.00055000,0.00000000,0.00055000,0.62150550,50,0.00055000
3801819,0.00722000,0.00000000,0.00722000,0.62872550,51,0.00722000
3803406,0.00100000,0.00000000,0.00100000,0.62972550,52,0.00100000
3803415,0.00086500,0.00000000,0.00086500,0.63059050,53,0.00086500
3803513,0.00095000,0.00000000,0.00095000,0.63154050,54,0.00095000
3803553,0.00050000,0.00000000,0.00050000,0.63204050,55,0.00050000
3804373,0.00110000,0.00000000,0.00110000,0.63314050,56,0.00110000
3804854,0.00055000,0.00000000,0.00055000,0.63369050,57,0.00055000
3805138,0.00055000,0.00000000,0.00055000,0.63424050,58,0.00055000
3805140,0.00050000,0.00000000,0.00050000,0.63474050,59,0.00050000
3805377,0.00050000,0.00000000,0.00050000,0.63524050,60,0.00050000
3805421,0.00050000,0.00000000,0.00050000,0.63574050,61,0.00050000
3805437,0.00057000,0.00000000,0.00057000,0.63631050,62,0.00057000
3805516,0.00100000,0.00000000,0.00100000,0.63731050,63,0.00100000
3805626,0.00055000,0.00000000,0.00055000,0.63786050,64,0.00055000
3805667,0.00066000,0.00000000,0.00066000,0.63852050,65,0.00066000
3805686,0.00140000,0.00000000,0.00140000,0.63992050,66,0.00140000
3805703,0.00094500,0.00000000,0.00094500,0.64086550,67,0.00094500
3805717,0.00000000,0.64086550,-0.64086550,-0.00000000,67,0.64086550
3808130,0.00500000,0.00000000,0.00500000,0.00500000,68,0.00500000
3808132,0.00105000,0.00000000,0.00105000,0.00605000,69,0.00105000
3808531,0.04600000,0.00000000,0.04600000,0.05205000,70,0.04600000
3808551,0.00220000,0.00000000,0.00220000,0.05425000,72,0.00110000
3808688,0.00120000,0.00000000,0.00120000,0.05545000,73,0.00120000
3808845,0.01505000,0.00000000,0.01505000,0.07050000,74,0.01505000
3809304,0.00655000,0.00000000,0.00655000,0.07705000,75,0.00655000
3809850,0.00210000,0.00000000,0.00210000,0.07915000,76,0.00210000
3809999,0.00155000,0.00000000,0.00155000,0.08070000,77,0.00155000
3810233,0.00255000,0.00000000,0.00255000,0.08325000,78,0.00255000
3811394,0.00500000,0.00000000,0.00500000,0.08825000,79,0.00500000
3812302,0.02500000,0.00000000,0.02500000,0.11325000,80,0.02500000
3813955,0.00355000,0.00000000,0.00355000,0.11680000,81,0.00355000
3814265,0.00250000,0.00000000,0.00250000,0.11930000,82,0.00250000
3814314,0.03000000,0.00000000,0.03000000,0.14930000,83,0.03000000
3814332,0.01000000,0.00000000,0.01000000,0.15930000,84,0.01000000
3814374,0.00115000,0.00000000,0.00115000,0.16045000,85,0.00115000
3814381,0.00760000,0.00000000,0.00760000,0.16805000,86,0.00760000
3814390,0.05005000,0.00000000,0.05005000,0.21810000,87,0.05005000
3814668,0.00200000,0.00000000,0.00200000,0.22010000,88,0.00200000
3814726,0.00250000,0.00000000,0.00250000,0.22260000,89,0.00250000
3814867,0.00100000,0.00000000,0.00100000,0.22360000,90,0.00100000
3814881,0.00100000,0.00000000,0.00100000,0.22460000,91,0.00100000
3815386,0.00100000,0.00000000,0.00100000,0.22560000,92,0.00100000
3815625,0.00516750,0.00000000,0.00516750,0.23076750,93,0.00516750
3816260,0.00055000,0.00000000,0.00055000,0.23131750,94,0.00055000
3824087,0.00200000,0.00000000,0.00200000,0.23331750,95,0.00200000
3824154,0.01250000,0.00000000,0.01250000,0.24581750,96,0.01250000
3824260,0.00550000,0.00000000,0.00550000,0.25131750,97,0.00550000
