block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4226968,0.01000000,0.00000000,0.01000000,0.01000000,1,0.01000000
4226969,0.06799795,0.00000000,0.06799795,0.07799795,2,0.06799795
4226970,1.00000000,0.00000000,1.00000000,1.07799795,3,1.00000000
4226975,1.00000000,0.00000000,1.00000000,2.07799795,3,1.00000000
4226976,2.70000000,0.00000000,2.70000000,4.77799795,4,2.70000000
4226979,4.00000000,0.00000000,4.00000000,8.77799795,5,4.00000000
4226983,0.39646300,0.00000000,0.39646300,9.17446095,6,0.39646300
4226987,0.39000000,0.00000000,0.39000000,9.56446095,6,0.39000000
4226990,0.38700000,0.00000000,0.38700000,9.95146095,6,0.38700000
4226996,0.38806300,0.00000000,0.38806300,10.33952395,6,0.38806300
4227019,0.44000000,0.00000000,0.44000000,10.77952395,7,0.44000000
4227469,0.25000000,0.00000000,0.25000000,11.02952395,8,0.25000000
4227962,1.00000000,0.00000000,1.00000000,12.02952395,9,1.00000000
4229426,1.20000000,0.00000000,1.20000000,13.22952395,10,1.20000000
4232760,1.00000000,0.00000000,1.00000000,14.22952395,11,1.00000000
4234668,0.30000000,0.00000000,0.30000000,14.52952395,12,0.30000000
4237726,0.10000000,0.00000000,0.10000000,14.62952395,13,0.10000000
4238660,1.14535187,0.00000000,1.14535187,15.77487582,14,1.14535187
4240190,0.00100000,0.00000000,0.00100000,15.77587582,15,0.00100000
4240425,0.00100000,0.00000000,0.00100000,15.77687582,15,0.00100000
4240719,0.00200000,0.00000000,0.00200000,15.77887582,15,0.00200000
4240732,0.00200000,0.00000000,0.00200000,15.78087582,15,0.00200000
4248272,0.10000000,0.00000000,0.10000000,15.88087582,16,0.10000000
4249954,1.00000000,0.00000000,1.00000000,16.88087582,17,1.00000000
4249979,2.50000000,0.00000000,2.50000000,19.38087582,18,2.50000000
4249981,1.70000000,0.00000000,1.70000000,21.08087582,18,1.70000000
4250493,4.60000000,0.00000000,4.60000000,25.68087582,19,4.60000000
4250535,0.05000000,0.00000000,0.05000000,25.73087582,20,0.05000000
4250937,4.60000000,0.00000000,4.60000000,30.33087582,20,4.60000000
4251326,0.00000000,0.01000000,-0.01000000,30.32087582,21,0.01000000
4251355,0.00000000,20.00000000,-20.00000000,10.32087582,21,20.00000000
4251359,20.00000000,0.00000000,20.00000000,30.32087582,21,20.00000000
4254906,5.00000000,0.00000000,5.00000000,35.32087582,22,5.00000000
4256047,0.00200000,0.00000000,0.00200000,35.32287582,23,0.00200000
4256250,0.00800000,0.00000000,0.00800000,35.33087582,23,0.00800000
4256540,0.20000000,0.00000000,0.20000000,35.53087582,24,0.20000000
4257044,0.10000000,0.00000000,0.10000000,35.63087582,25,0.10000000
4258211,0.10000000,0.00000000,0.10000000,35.73087582,26,0.10000000
4265357,1.00000000,0.00000000,1.00000000,36.73087582,27,1.00000000
4265740,0.10000000,0.00000000,0.10000000,36.83087582,28,0.10000000
4265901,0.04420000,0.00000000,0.04420000,36.87507582,29,0.04420000
4267685,0.40000000,0.00000000,0.40000000,37.27507582,30,0.40000000
4268151,0.20000000,0.00000000,0.20000000,37.47507582,31,0.20000000
4268297,1.00000000,0.00000000,1.00000000,38.47507582,32,1.00000000
4269500,1.10000000,0.00000000,1.10000000,39.57507582,33,1.10000000
4273623,0.50000000,0.00000000,0.50000000,40.07507582,33,0.50000000
4275583,2.50000000,0.00000000,2.50000000,42.57507582,34,2.50000000
4275965,0.50000000,0.00000000,0.50000000,43.07507582,35,0.50000000
4279935,0.20000000,0.00000000,0.20000000,43.27507582,36,0.20000000
4280171,0.10000000,0.00000000,0.10000000,43.37507582,37,0.10000000
4280665,2.70700000,0.00000000,2.70700000,46.08207582,38,2.70700000
4281163,0.50000000,0.00000000,0.50000000,46.58207582,39,0.50000000
4281166,0.50000000,0.00000000,0.50000000,47.08207582,39,0.50000000
4283539,10.00000000,0.00000000,10.00000000,57.08207582,40,10.00000000
4288317,0.06000000,0.00000000,0.06000000,57.14207582,41,0.06000000
4294533,0.03600000,0.00000000,0.03600000,57.17807582,42,0.03600000
