block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1324959,2.50000000,0.00000000,2.50000000,2.50000000,1,2.50000000
1324969,5.00000000,6.05000000,-1.05000000,1.45000000,1,3.30000000
1324970,2.00000000,2.20000000,-0.20000000,1.25000000,2,2.20000000
1324975,4.00000000,2.20000000,1.80000000,3.05000000,2,4.00000000
1324994,9.00000000,7.00000000,2.00000000,5.05000000,3,7.00000000
1324995,2.00000000,0.00000000,2.00000000,7.05000000,3,2.00000000
1324996,4.00000000,7.70000000,-3.70000000,3.35000000,3,7.70000000
1324999,7.00000000,6.60000000,0.40000000,3.75000000,3,7.00000000
1325002,3.00000000,0.00000000,3.00000000,6.75000000,4,3.00000000
1325003,20.00000000,19.00000000,1.00000000,7.75000000,4,10.00000000
1325005,12.00000000,11.00000000,1.00000000,8.75000000,4,11.00000000
1325007,3.00000000,0.00000000,3.00000000,11.75000000,4,3.00000000
1325009,17.00000000,16.50000000,0.50000000,12.25000000,5,11.00000000
1325014,3.00000000,6.60000000,-3.60000000,8.65000000,5,6.60000000
1325017,9.00000000,0.00000000,9.00000000,17.65000000,5,9.00000000
1325019,8.00000000,15.40000000,-7.40000000,10.25000000,6,12.10000000
1325021,12.00000000,9.90000000,2.10000000,12.35000000,6,12.00000000
1325023,3.00000000,5.50000000,-2.50000000,9.85000000,6,5.50000000
1325025,10.00000000,3.90000000,6.10000000,15.95000000,6,10.00000000
1325027,5.00000000,0.00000000,5.00000000,20.95000000,6,5.00000000
1325028,3.00000000,13.20000000,-10.20000000,10.75000000,6,13.20000000
1325029,12.00000000,3.30000000,8.70000000,19.45000000,6,12.00000000
1325032,14.00000000,19.80000000,-5.80000000,13.65000000,6,14.00000000
1325034,3.00000000,0.00000000,3.00000000,16.65000000,6,3.00000000
1325037,14.00000000,13.20000000,0.80000000,17.45000000,6,13.20000000
1325041,3.00000000,0.00000000,3.00000000,20.45000000,6,3.00000000
1325042,6.20000000,0.00000000,6.20000000,26.65000000,6,6.20000000
1325052,1.50000000,15.40000000,-13.90000000,12.75000000,6,15.40000000
1325054,10.00000000,3.30000000,6.70000000,19.45000000,6,10.00000000
1325061,3.00000000,0.00000000,3.00000000,22.45000000,6,3.00000000
1325069,5.00000000,12.10000000,-7.10000000,15.35000000,6,12.10000000
1325073,12.40000000,13.72000000,-1.32000000,14.03000000,6,12.40000000
1325075,6.80000000,1.65000000,5.15000000,19.18000000,6,6.80000000
1325079,3.00000000,0.00000000,3.00000000,22.18000000,6,3.00000000
1325081,2.00000000,0.00000000,2.00000000,24.18000000,6,2.00000000
1325116,1.30000000,11.20000000,-9.90000000,14.28000000,8,11.00000000
1325131,11.00000000,8.80000000,2.20000000,16.48000000,8,6.00000000
1325135,5.50000000,0.00000000,5.50000000,21.98000000,8,5.50000000
1325146,3.00000000,0.00000000,3.00000000,24.98000000,8,3.00000000
1325182,4.00000000,13.64000000,-9.64000000,15.34000000,8,13.64000000
1325195,1.56000000,0.00000000,1.56000000,16.90000000,8,1.56000000
1325277,1.00000000,0.00000000,1.00000000,17.90000000,8,1.00000000
1325351,0.00000000,15.59884800,-15.59884800,2.30115200,8,15.59884800
1325896,2.00000000,0.00000000,2.00000000,4.30115200,9,2.00000000
1330203,1.30000000,0.00000000,1.30000000,5.60115200,10,1.30000000
1330207,2.20000000,0.00000000,2.20000000,7.80115200,10,2.20000000
1330277,0.00000000,5.50108900,-5.50108900,2.30006300,10,5.50108900
1330280,0.50000000,0.00000000,0.50000000,2.80006300,11,0.50000000
1335411,1.10000000,0.00000000,1.10000000,3.90006300,11,1.10000000
1335419,0.00000000,1.60005780,-1.60005780,2.30000520,11,1.60005780
1710999,0.05000000,0.05000000,0.00000000,2.30000520,11,0.05000000
