block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3199689,10.00000000,0.00000000,10.00000000,10.00000000,1,10.00000000
3199848,0.20000000,0.21800000,-0.01800000,9.98200000,2,0.21800000
3199851,0.20000000,0.24400000,-0.04400000,9.93800000,2,0.24400000
3199856,0.20000000,0.00000000,0.20000000,10.13800000,2,0.20000000
3199869,0.20000000,0.21800000,-0.01800000,10.12000000,2,0.21800000
3199873,0.20000000,0.24400000,-0.04400000,10.07600000,2,0.24400000
3199888,0.20000000,0.28000000,-0.08000000,9.99600000,2,0.28000000
3199891,0.20000000,0.00000000,0.20000000,10.19600000,2,0.20000000
3199976,0.20000000,0.21800000,-0.01800000,10.17800000,3,0.21800000
3199978,0.20000000,0.00000000,0.20000000,10.37800000,3,0.20000000
3199988,0.20000000,0.21800000,-0.01800000,10.36000000,3,0.21800000
3199995,0.20000000,0.24400000,-0.04400000,10.31600000,3,0.24400000
3199997,0.20000000,0.00000000,0.20000000,10.51600000,3,0.20000000
3200116,0.20000000,0.21800000,-0.01800000,10.49800000,3,0.21800000
3200223,0.20000000,0.21800000,-0.01800000,10.48000000,4,0.21800000
3200226,0.40000000,0.48800000,-0.08800000,10.39200000,4,0.24400000
3200534,0.20000000,0.00000000,0.20000000,10.59200000,4,0.20000000
3200718,0.20000000,0.21800000,-0.01800000,10.57400000,4,0.21800000
3200720,0.20000000,0.24400000,-0.04400000,10.53000000,4,0.24400000
3200732,0.20000000,0.21800000,-0.01800000,10.51200000,4,0.21800000
3200733,0.20000000,0.21800000,-0.01800000,10.49400000,5,0.21800000
3200737,0.20000000,0.24400000,-0.04400000,10.45000000,5,0.24400000
3200743,0.20000000,0.28000000,-0.08000000,10.37000000,5,0.28000000
3200746,0.20000000,0.00000000,0.20000000,10.57000000,5,0.20000000
3200751,0.20000000,0.24400000,-0.04400000,10.52600000,5,0.24400000
3200753,0.20000000,0.28000000,-0.08000000,10.44600000,5,0.28000000
3200758,0.20000000,0.00000000,0.20000000,10.64600000,5,0.20000000
3200762,0.20000000,0.21800000,-0.01800000,10.62800000,5,0.21800000
3200766,0.20000000,0.00000000,0.20000000,10.82800000,5,0.20000000
3200770,0.20000000,0.21800000,-0.01800000,10.81000000,5,0.21800000
3200775,0.20000000,0.24400000,-0.04400000,10.76600000,5,0.24400000
3200778,0.20000000,0.00000000,0.20000000,10.96600000,5,0.20000000
3200844,0.20000000,0.28000000,-0.08000000,10.88600000,5,0.28000000
3200848,0.20000000,0.32600000,-0.12600000,10.76000000,5,0.32600000
3200852,0.20000000,0.21800000,-0.01800000,10.74200000,5,0.21800000
3200894,0.20000000,0.24400000,-0.04400000,10.69800000,5,0.24400000
3200912,0.20000000,0.28000000,-0.08000000,10.61800000,5,0.28000000
3200914,0.20000000,0.32600000,-0.12600000,10.49200000,5,0.32600000
3200916,0.20000000,0.39200000,-0.19200000,10.30000000,5,0.39200000
3200933,0.20000000,0.21800000,-0.01800000,10.28200000,5,0.21800000
3200936,0.20000000,0.24400000,-0.04400000,10.23800000,5,0.24400000
3200938,0.20000000,0.21800000,-0.01800000,10.22000000,5,0.21800000
3200940,0.20000000,0.24400000,-0.04400000,10.17600000,5,0.24400000
3201005,0.20000000,0.21800000,-0.01800000,10.15800000,5,0.21800000
3201991,0.20000000,0.00000000,0.20000000,10.35800000,5,0.20000000
3202140,0.10000000,0.10900000,-0.00900000,10.34900000,6,0.10900000
3202186,0.10000000,0.98000000,-0.88000000,9.46900000,7,0.98000000
3202194,0.10000000,0.98000000,-0.88000000,8.58900000,7,0.98000000
3202200,0.10000000,0.49000000,-0.39000000,8.19900000,7,0.49000000
3202208,0.80000000,1.12000000,-0.32000000,7.87900000,7,1.12000000
3202212,0.78000000,3.82200000,-3.04200000,4.83700000,7,3.82200000
3202216,0.48000000,0.52320000,-0.04320000,4.79380000,7,0.52320000
3202224,0.47000000,0.92120000,-0.45120000,4.34260000,7,0.92120000
3202227,0.40000000,0.98000000,-0.58000000,3.76260000,7,0.98000000
3202231,0.30000000,2.94000000,-2.64000000,1.12260000,7,2.94000000
3202234,0.30000000,0.97800000,-0.67800000,0.44460000,7,0.97800000
3202238,0.10000000,0.98000000,-0.88000000,-0.43540000,7,0.98000000
3202242,0.01400000,0.06860000,-0.05460000,-0.49000000,7,0.06860000
3202248,0.00900000,0.00981000,-0.00081000,-0.49081000,7,0.00981000
3202344,0.20000000,0.21800000,-0.01800000,-0.50881000,7,0.21800000
3417687,0.02000000,0.03920000,-0.01920000,-0.52801000,7,0.03920000
3417696,0.02000000,0.02440000,-0.00440000,-0.53241000,7,0.02440000
3417703,0.02000000,0.00000000,0.02000000,-0.51241000,7,0.02000000
3417709,0.02000000,0.02800000,-0.00800000,-0.52041000,7,0.02800000
3417714,0.02000000,0.02440000,-0.00440000,-0.52481000,7,0.02440000
3417718,0.02000000,0.02180000,-0.00180000,-0.52661000,7,0.02180000
3417727,0.02000000,0.04900000,-0.02900000,-0.55561000,7,0.04900000
3417735,0.02000000,0.03920000,-0.01920000,-0.57481000,7,0.03920000
20468341,0.10655314,0.11614293,-0.00958978,-0.58439978,8,0.11614293
