block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
2220235,10.00000000,0.00000000,10.00000000,10.00000000,1,10.00000000
2220236,20.00000000,0.00000000,20.00000000,30.00000000,1,10.00000000
2220237,20.00000000,0.00000000,20.00000000,50.00000000,1,10.00000000
2463406,0.20000000,0.00000000,0.20000000,50.20000000,1,0.20000000
2463991,2.00000000,0.00000000,2.00000000,52.20000000,1,2.00000000
2464019,2.00000000,0.00000000,2.00000000,54.20000000,1,2.00000000
2464057,2.00000000,0.00000000,2.00000000,56.20000000,1,2.00000000
2464083,2.00000000,0.00000000,2.00000000,58.20000000,1,2.00000000
2464092,2.00000000,0.00000000,2.00000000,60.20000000,1,2.00000000
2464093,2.00000000,0.00000000,2.00000000,62.20000000,1,2.00000000
2464097,2.00000000,0.00000000,2.00000000,64.20000000,1,2.00000000
2464101,2.00000000,0.00000000,2.00000000,66.20000000,1,2.00000000
2464102,2.00000000,0.00000000,2.00000000,68.20000000,1,2.00000000
2464103,1.40000000,0.00000000,1.40000000,69.60000000,1,1.40000000
2700403,0.10000000,0.00000000,0.10000000,69.70000000,1,0.10000000
2700442,0.10000000,0.00000000,0.10000000,69.80000000,1,0.10000000
2700450,10.00000000,0.00000000,10.00000000,79.80000000,1,10.00000000
2700456,10.00000000,0.00000000,10.00000000,89.80000000,1,10.00000000
2700458,10.00000000,0.00000000,10.00000000,99.80000000,1,10.00000000
2700459,9.90000000,0.00000000,9.90000000,109.70000000,1,9.90000000
2934213,5.00000000,0.00000000,5.00000000,114.70000000,1,5.00000000
3062115,8.00000000,0.00000000,8.00000000,122.70000000,1,8.00000000
3399030,2.50000000,0.00000000,2.50000000,125.20000000,1,2.50000000
3399036,2.50000000,0.00000000,2.50000000,127.70000000,1,2.50000000
3399037,0.52500000,0.00000000,0.52500000,128.22500000,1,0.52500000
3563291,2.00000000,0.00000000,2.00000000,130.22500000,1,2.00000000
3563293,2.00000000,0.00000000,2.00000000,132.22500000,1,2.00000000
3563294,0.42000000,0.00000000,0.42000000,132.64500000,1,0.42000000
3592967,1.78000000,0.00000000,1.78000000,134.42500000,1,1.78000000
3597411,2.00000000,0.00000000,2.00000000,136.42500000,1,2.00000000
3597412,2.00000000,0.00000000,2.00000000,138.42500000,1,2.00000000
3597414,2.00000000,0.00000000,2.00000000,140.42500000,1,2.00000000
3597415,2.00000000,0.00000000,2.00000000,142.42500000,1,2.00000000
3597418,1.78000000,0.00000000,1.78000000,144.20500000,1,1.78000000
3603259,2.00000000,0.00000000,2.00000000,146.20500000,1,2.00000000
3615496,1.96000000,0.00000000,1.96000000,148.16500000,1,1.96000000
3671551,2.00000000,0.00000000,2.00000000,150.16500000,1,2.00000000
3671552,2.00000000,0.00000000,2.00000000,152.16500000,1,2.00000000
3671564,0.64000000,0.00000000,0.64000000,152.80500000,1,0.64000000
3732607,1.00000000,0.00000000,1.00000000,153.80500000,1,1.00000000
3732610,0.55000000,0.00000000,0.55000000,154.35500000,1,0.55000000
3809089,0.50000000,0.00000000,0.50000000,154.85500000,1,0.50000000
3809343,0.50000000,0.00000000,0.50000000,155.35500000,1,0.50000000
3809382,0.50000000,0.00000000,0.50000000,155.85500000,1,0.50000000
3809385,0.50000000,0.00000000,0.50000000,156.35500000,1,0.50000000
3809451,0.50000000,0.00000000,0.50000000,156.85500000,1,0.50000000
3942242,0.50000000,0.00000000,0.50000000,157.35500000,1,0.50000000
3942320,0.49500000,0.00000000,0.49500000,157.85000000,1,0.49500000
3982663,0.50000000,0.00000000,0.50000000,158.35000000,1,0.50000000
3982666,0.50000000,0.00000000,0.50000000,158.85000000,1,0.50000000
3982672,0.43500000,0.00000000,0.43500000,159.28500000,1,0.43500000
4104452,0.50000000,0.00000000,0.50000000,159.78500000,1,0.50000000
4104465,0.50000000,0.00000000,0.50000000,160.28500000,1,0.50000000
4104472,0.50000000,0.00000000,0.50000000,160.78500000,1,0.50000000
4104475,0.50000000,0.00000000,0.50000000,161.28500000,1,0.50000000
4104476,0.50000000,0.00000000,0.50000000,161.78500000,1,0.50000000
4230794,0.50000000,0.00000000,0.50000000,162.28500000,1,0.50000000
4230824,0.50000000,0.00000000,0.50000000,162.78500000,1,0.50000000
4230825,0.50000000,0.00000000,0.50000000,163.28500000,1,0.50000000
4230830,0.50000000,0.00000000,0.50000000,163.78500000,1,0.50000000
4230851,0.50000000,0.00000000,0.50000000,164.28500000,1,0.50000000
4230908,0.50000000,0.00000000,0.50000000,164.78500000,1,0.50000000
4230920,1.00000000,0.00000000,1.00000000,165.78500000,1,0.50000000
4230921,0.50000000,0.00000000,0.50000000,166.28500000,1,0.50000000
4230926,0.50000000,0.00000000,0.50000000,166.78500000,1,0.50000000
4230933,0.50000000,0.00000000,0.50000000,167.28500000,1,0.50000000
4230939,0.50000000,0.00000000,0.50000000,167.78500000,1,0.50000000
4230940,0.50000000,0.00000000,0.50000000,168.28500000,1,0.50000000
4230954,0.24000000,0.00000000,0.24000000,168.52500000,1,0.24000000
4252739,0.20000000,0.00000000,0.20000000,168.72500000,1,0.20000000
4252789,0.20000000,0.00000000,0.20000000,168.92500000,1,0.20000000
4252819,0.20000000,0.00000000,0.20000000,169.12500000,1,0.20000000
4252821,0.20000000,0.00000000,0.20000000,169.32500000,1,0.20000000
4252839,0.17000000,0.00000000,0.17000000,169.49500000,1,0.17000000
4252844,0.00000000,50.10000000,-50.10000000,119.39500000,1,50.10000000
4256387,0.20000000,0.00000000,0.20000000,119.59500000,1,0.20000000
4256397,0.20000000,0.00000000,0.20000000,119.79500000,1,0.20000000
4256414,0.20000000,0.00000000,0.20000000,119.99500000,1,0.20000000
4256415,0.20000000,0.00000000,0.20000000,120.19500000,1,0.20000000
4256417,0.20000000,0.00000000,0.20000000,120.39500000,1,0.20000000
4256418,0.20000000,0.00000000,0.20000000,120.59500000,1,0.20000000
4256424,0.09000000,0.00000000,0.09000000,120.68500000,1,0.09000000
4349823,0.25000000,0.00000000,0.25000000,120.93500000,1,0.25000000
4349894,0.25000000,0.00000000,0.25000000,121.18500000,1,0.25000000
4349906,0.25000000,0.00000000,0.25000000,121.43500000,1,0.25000000
4349924,0.25000000,0.00000000,0.25000000,121.68500000,1,0.25000000
4349971,0.24000000,0.00000000,0.24000000,121.92500000,1,0.24000000
4371033,0.20000000,0.00000000,0.20000000,122.12500000,1,0.20000000
4371169,0.20000000,0.00000000,0.20000000,122.32500000,1,0.20000000
4371177,0.20000000,0.00000000,0.20000000,122.52500000,1,0.20000000
4371181,0.20000000,0.00000000,0.20000000,122.72500000,1,0.20000000
4371277,0.19800000,0.00000000,0.19800000,122.92300000,1,0.19800000
4371298,0.20000000,0.00000000,0.20000000,123.12300000,1,0.20000000
4371303,0.20000000,0.00000000,0.20000000,123.32300000,1,0.20000000
4371307,0.20000000,0.00000000,0.20000000,123.52300000,1,0.20000000
4371323,0.20000000,0.00000000,0.20000000,123.72300000,1,0.20000000
4371340,0.19600000,0.00000000,0.19600000,123.91900000,1,0.19600000
4376952,0.40000000,0.00000000,0.40000000,124.31900000,1,0.20000000
4376954,0.40000000,0.00000000,0.40000000,124.71900000,1,0.20000000
4376955,0.19400000,0.00000000,0.19400000,124.91300000,1,0.19400000
4420117,0.20000000,0.00000000,0.20000000,125.11300000,1,0.20000000
4420118,0.40000000,0.00000000,0.40000000,125.51300000,1,0.20000000
4420121,0.20000000,0.00000000,0.20000000,125.71300000,1,0.20000000
4420129,0.20000000,0.00000000,0.20000000,125.91300000,1,0.20000000
4420130,0.20000000,0.00000000,0.20000000,126.11300000,1,0.20000000
4420134,0.20000000,0.00000000,0.20000000,126.31300000,1,0.20000000
4420138,0.40000000,0.00000000,0.40000000,126.71300000,1,0.20000000
4420148,0.18000000,0.00000000,0.18000000,126.89300000,1,0.18000000
4420194,0.00000000,19.60000000,-19.60000000,107.29300000,1,19.60000000
4439471,0.20000000,0.00000000,0.20000000,107.49300000,1,0.20000000
4439473,0.40000000,0.00000000,0.40000000,107.89300000,1,0.20000000
4439474,0.20000000,0.00000000,0.20000000,108.09300000,1,0.20000000
4439475,0.20000000,0.00000000,0.20000000,108.29300000,1,0.20000000
4439476,0.20000000,0.00000000,0.20000000,108.49300000,1,0.20000000
4439478,0.18800000,0.00000000,0.18800000,108.68100000,1,0.18800000
4545979,0.20000000,0.00000000,0.20000000,108.88100000,1,0.20000000
