block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1277740,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
1277742,1.00000000,1.60000000,-0.60000000,0.40000000,3,1.50000000
1277745,5.00000000,2.00000000,3.00000000,3.40000000,4,5.00000000
1277749,1.00000000,0.10000000,0.90000000,4.30000000,4,1.00000000
1277750,5.00000000,8.00000000,-3.00000000,1.30000000,4,7.50000000
1277756,8.00000000,2.30000000,5.70000000,7.00000000,4,8.00000000
1277757,4.00000000,7.90000000,-3.90000000,3.10000000,4,7.50000000
1277760,4.00000000,0.40000000,3.60000000,6.70000000,4,4.00000000
1277766,9.00000000,12.90000000,-3.90000000,2.80000000,4,12.00000000
1277774,12.00000000,13.20000000,-1.20000000,1.60000000,4,12.00000000
1277778,6.00000000,0.60000000,5.40000000,7.00000000,4,6.00000000
1277782,10.00000000,14.50000000,-4.50000000,2.50000000,4,13.50000000
1277786,15.00000000,1.50000000,13.50000000,16.00000000,6,10.00000000
1277791,1.00000000,0.10000000,0.90000000,16.90000000,7,1.00000000
1277792,1.40000000,18.14000000,-16.74000000,0.16000000,8,18.00000000
1277797,20.00000000,11.00000000,9.00000000,9.16000000,9,20.00000000
1277811,0.15000000,0.15000000,0.00000000,9.16000000,10,0.15000000
1277849,1.00000000,0.10000000,0.90000000,10.06000000,10,1.00000000
1277881,1.61230796,0.00000000,1.61230796,11.67230796,11,1.61230796
1277920,2.72391906,0.00000000,2.72391906,14.39622702,11,2.72391906
1278002,2.00000000,0.20000000,1.80000000,16.19622702,12,2.00000000
1278166,3.46291396,0.00000000,3.46291396,19.65914098,13,3.46291396
1278222,3.46186396,0.00000000,3.46186396,23.12100494,13,3.46186396
1278258,0.50000000,0.50000000,0.00000000,23.12100494,14,0.50000000
1278278,1.01000000,0.10100000,0.90900000,24.03000494,14,1.01000000
1288714,2.22300000,0.22230000,2.00070000,26.03070494,15,2.22300000
1288731,1.00000000,15.10000000,-14.10000000,11.93070494,15,15.00000000
1288798,0.10000000,0.10000000,0.00000000,11.93070494,16,0.10000000
