block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3933258,20.00000000,0.00000000,20.00000000,20.00000000,1,20.00000000
3957227,1.00000000,0.00000000,1.00000000,21.00000000,2,1.00000000
3958037,0.00000000,653856.01480364,-653856.01480364,-653835.01480364,3,653856.01480364
3959457,0.04000000,0.00000000,0.04000000,-653834.97480364,4,0.04000000
3962614,0.50000000,0.00000000,0.50000000,-653834.47480364,5,0.50000000
3967217,25.00000000,0.00000000,25.00000000,-653809.47480364,6,25.00000000
3971792,0.50000000,0.00000000,0.50000000,-653808.97480364,7,0.50000000
3976549,2.95000000,0.00000000,2.95000000,-653806.02480364,8,2.95000000
3977489,0.00000000,104153.06548175,-104153.06548175,-757959.09028538,8,104153.06548175
4002036,0.00000000,102319.88554808,-102319.88554808,-860278.97583346,8,102319.88554808
4003367,1.50000000,0.00000000,1.50000000,-860277.47583346,9,1.50000000
4009793,1.00000000,0.00000000,1.00000000,-860276.47583346,9,1.00000000
4013969,0.31415927,0.00000000,0.31415927,-860276.16167419,10,0.31415927
4027364,1.00000000,0.00000000,1.00000000,-860275.16167419,10,1.00000000
4033042,0.00000000,109397.79998041,-109397.79998041,-969672.96165461,10,109397.79998041
4044066,0.00000000,31474.05579927,-31474.05579927,-1001147.01745388,10,31474.05579927
4048111,0.00000000,14888.80115584,-14888.80115584,-1016035.81860972,10,14888.80115584
4062701,1.00000000,0.00000000,1.00000000,-1016034.81860972,11,1.00000000
4064998,0.00000000,62517.70898448,-62517.70898448,-1078552.52759421,11,62517.70898448
4075567,0.00000000,32664.65620235,-32664.65620235,-1111217.18379656,11,32664.65620235
4080448,0.00000000,31933.27222710,-31933.27222710,-1143150.45602366,11,31933.27222710
4085113,0.00000000,20395.84040231,-20395.84040231,-1163546.29642597,11,20395.84040231
4095005,0.00000000,29466.95333599,-29466.95333599,-1193013.24976196,11,29466.95333599
4103041,0.00000000,34170.84684470,-34170.84684470,-1227184.09660666,11,34170.84684470
4106979,0.00000000,18600.83112174,-18600.83112174,-1245784.92772840,11,18600.83112174
4111400,0.00000000,15585.83696379,-15585.83696379,-1261370.76469218,11,15585.83696379
4114945,0.00000000,12630.30512945,-12630.30512945,-1274001.06982163,11,12630.30512945
4121951,0.01000000,0.00000000,0.01000000,-1274001.05982163,12,0.01000000
4130398,0.00000000,54341.21030263,-54341.21030263,-1328342.27012426,12,54341.21030263
4155244,0.00000000,70009.36602787,-70009.36602787,-1398351.63615213,12,70009.36602787
4167152,0.00000000,31026.71814315,-31026.71814315,-1429378.35429528,12,31026.71814315
4176479,0.00000000,19153.57058827,-19153.57058827,-1448531.92488355,12,19153.57058827
4182067,0.00000000,16416.12685915,-16416.12685915,-1464948.05174270,12,16416.12685915
4198438,0.00000000,31505.11182429,-31505.11182429,-1496453.16356698,12,31505.11182429
4237040,0.00000000,82207.85614514,-82207.85614514,-1578661.01971213,12,82207.85614514
4262375,0.00000000,40473.45821487,-40473.45821487,-1619134.47792700,12,40473.45821487
4276096,0.00000000,20206.16795077,-20206.16795077,-1639340.64587777,12,20206.16795077
4310000,0.00000000,45469.57634653,-45469.57634653,-1684810.22222430,12,45469.57634653
4337613,0.00000000,42688.33257048,-42688.33257048,-1727498.55479478,12,42688.33257048
4360702,0.00000000,32720.92711523,-32720.92711523,-1760219.48191000,12,32720.92711523
4365918,0.58356230,0.00000000,0.58356230,-1760218.89834771,13,0.58356230
4412140,0.00000000,35912.99026878,-35912.99026878,-1796131.88861649,13,35912.99026878
4436432,0.00000000,13467.87545387,-13467.87545387,-1809599.76407036,13,13467.87545387
4461637,0.00000000,16201.44152230,-16201.44152230,-1825801.20559266,13,16201.44152230
4480333,0.00000000,21543.68435278,-21543.68435278,-1847344.88994544,13,21543.68435278
4502046,0.00000000,23039.25137044,-23039.25137044,-1870384.14131588,13,23039.25137044
4532942,0.00000000,34132.95539996,-34132.95539996,-1904517.09671583,13,34132.95539996
4554420,0.00000000,28882.68838516,-28882.68838516,-1933399.78510099,13,28882.68838516
4585875,0.00000000,51651.12036303,-51651.12036303,-1985050.90546402,13,51651.12036303
4604029,0.00000000,29050.84175522,-29050.84175522,-2014101.74721924,13,29050.84175522
