block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1297527,0.01000000,0.00000000,0.01000000,0.01000000,1,0.01000000
1297546,5.00000000,0.02000000,4.98000000,4.99000000,2,5.00000000
1297548,5.00000000,0.00000000,5.00000000,9.99000000,3,5.00000000
1297555,0.02000000,10.00000000,-9.98000000,0.01000000,4,10.00000000
1297562,10.00000000,10.00000000,0.00000000,0.01000000,5,10.00000000
1297577,5.00000000,0.04000000,4.96000000,4.97000000,6,5.00000000
1297589,5.00000000,0.00000000,5.00000000,9.97000000,6,5.00000000
1297629,5.00000000,10.00000000,-5.00000000,4.97000000,7,10.00000000
1297630,5.00000000,0.00000000,5.00000000,9.97000000,7,5.00000000
1297633,0.04000000,10.00000000,-9.96000000,0.01000000,7,10.00000000
