block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3722653,40.10000000,0.00000000,40.10000000,40.10000000,1,40.10000000
3722804,40.10000000,0.00000000,40.10000000,80.20000000,2,40.10000000
3723197,41.00000000,0.00000000,41.00000000,121.20000000,3,41.00000000
3723200,40.32084500,0.00000000,40.32084500,161.52084500,4,40.32084500
3723377,140.79360000,0.00000000,140.79360000,302.31444500,5,140.79360000
3723396,40.10000000,0.00000000,40.10000000,342.41444500,6,40.10000000
3723439,45.10000000,0.00000000,45.10000000,387.51444500,7,45.10000000
3723460,40.10000000,0.00000000,40.10000000,427.61444500,8,40.10000000
3723467,40.50000000,0.00000000,40.50000000,468.11444500,9,40.50000000
3723468,360.00000000,0.00000000,360.00000000,828.11444500,10,360.00000000
3723563,40.10000000,0.00000000,40.10000000,868.21444500,11,40.10000000
3723655,40.20000000,0.00000000,40.20000000,908.41444500,12,40.20000000
3723880,40.10000000,0.00000000,40.10000000,948.51444500,13,40.10000000
3724019,80.00000000,0.00000000,80.00000000,1028.51444500,14,80.00000000
3724670,121.95000000,0.00000000,121.95000000,1150.46444500,15,121.95000000
3724757,44.99000000,0.00000000,44.99000000,1195.45444500,16,44.99000000
3724804,70.00000000,0.00000000,70.00000000,1265.45444500,17,70.00000000
3724860,100.00000000,0.00000000,100.00000000,1365.45444500,18,100.00000000
3724937,45.00000000,0.00000000,45.00000000,1410.45444500,19,45.00000000
3725060,74.06890064,0.00000000,74.06890064,1484.52334564,20,74.06890064
3725334,49.90000000,0.00000000,49.90000000,1534.42334564,21,49.90000000
3725469,41.09000000,0.00000000,41.09000000,1575.51334564,22,41.09000000
3725514,40.48500000,0.00000000,40.48500000,1615.99834564,23,40.48500000
3725769,41.00000000,0.00000000,41.00000000,1656.99834564,24,41.00000000
3726033,124.26500000,0.00000000,124.26500000,1781.26334564,25,124.26500000
3726046,255.80955900,0.00000000,255.80955900,2037.07290464,26,255.80955900
3726113,255.86894809,0.00000000,255.86894809,2292.94185273,26,255.86894809
3727173,51.33000000,0.00000000,51.33000000,2344.27185273,27,51.33000000
3727291,400.00000000,0.00000000,400.00000000,2744.27185273,28,400.00000000
3727537,45.11250000,0.00000000,45.11250000,2789.38435273,29,45.11250000
3727839,64.92790000,0.00000000,64.92790000,2854.31225273,30,64.92790000
3728009,42.90000000,0.00000000,42.90000000,2897.21225273,31,42.90000000
3728241,301.08898089,0.00000000,301.08898089,3198.30123362,32,301.08898089
3728866,40.10000000,0.00000000,40.10000000,3238.40123362,33,40.10000000
3769260,55.99838909,0.00000000,55.99838909,3294.39962271,34,55.99838909
3798562,0.00000000,80.20000000,-80.20000000,3214.19962271,35,40.10000000
3798564,0.00000000,41.00000000,-41.00000000,3173.19962271,35,41.00000000
3798568,0.00000000,40.32084500,-40.32084500,3132.87877771,35,40.32084500
3798573,0.00000000,140.79360000,-140.79360000,2992.08517771,35,140.79360000
3798577,0.00000000,40.10000000,-40.10000000,2951.98517771,35,40.10000000
3798583,0.00000000,45.10000000,-45.10000000,2906.88517771,35,45.10000000
3798588,0.00000000,40.50000000,-40.50000000,2866.38517771,35,40.50000000
3798590,0.00000000,360.00000000,-360.00000000,2506.38517771,35,360.00000000
3798592,0.00000000,40.10000000,-40.10000000,2466.28517771,35,40.10000000
3798595,0.00000000,40.20000000,-40.20000000,2426.08517771,35,40.20000000
3798597,0.00000000,40.10000000,-40.10000000,2385.98517771,35,40.10000000
3798601,0.00000000,80.00000000,-80.00000000,2305.98517771,35,80.00000000
3798605,0.00000000,121.95000000,-121.95000000,2184.03517771,35,121.95000000
3798609,0.00000000,44.99000000,-44.99000000,2139.04517771,35,44.99000000
3798613,0.00000000,70.00000000,-70.00000000,2069.04517771,35,70.00000000
3798617,0.00000000,100.00000000,-100.00000000,1969.04517771,35,100.00000000
3798623,0.00000000,45.00000000,-45.00000000,1924.04517771,35,45.00000000
3798877,0.00000000,74.06890064,-74.06890064,1849.97627707,35,74.06890064
3798882,0.00000000,49.90000000,-49.90000000,1800.07627707,35,49.90000000
3798888,0.00000000,41.09000000,-41.09000000,1758.98627707,35,41.09000000
3798892,0.00000000,40.48500000,-40.48500000,1718.50127707,35,40.48500000
3798896,0.00000000,41.00000000,-41.00000000,1677.50127707,35,41.00000000
3798900,0.00000000,124.26500000,-124.26500000,1553.23627707,35,124.26500000
3798904,0.00000000,255.86894809,-255.86894809,1297.36732898,35,255.86894809
3798912,0.00000000,51.33000000,-51.33000000,1246.03732898,35,51.33000000
3798916,0.00000000,400.00000000,-400.00000000,846.03732898,35,400.00000000
3798921,0.00000000,45.11250000,-45.11250000,800.92482898,35,45.11250000
3798926,0.00000000,64.92790000,-64.92790000,735.99692898,35,64.92790000
3798930,0.00000000,42.90000000,-42.90000000,693.09692898,35,42.90000000
3798934,0.00000000,301.08898089,-301.08898089,392.00794809,35,301.08898089
3798938,0.00000000,40.10000000,-40.10000000,351.90794809,35,40.10000000
