block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4203936,0.01420000,0.00000000,0.01420000,0.01420000,1,0.01420000
4207351,1.00000000,0.00000000,1.00000000,1.01420000,2,1.00000000
4212158,5.00000000,0.00000000,5.00000000,6.01420000,3,5.00000000
4213523,10.00000000,0.00000000,10.00000000,16.01420000,4,10.00000000
4214136,0.15000000,0.00000000,0.15000000,16.16420000,5,0.15000000
4219847,0.01000000,0.00000000,0.01000000,16.17420000,6,0.01000000
4219871,0.10000000,0.00000000,0.10000000,16.27420000,6,0.10000000
4229053,1.84000000,0.00000000,1.84000000,18.11420000,7,1.84000000
4230837,0.85000000,0.00000000,0.85000000,18.96420000,8,0.85000000
4252704,0.01800000,0.00000000,0.01800000,18.98220000,9,0.01800000
4253761,0.02400000,0.00000000,0.02400000,19.00620000,9,0.02400000
4256728,1.68180292,0.00000000,1.68180292,20.68800292,9,1.68180292
4257249,0.01611365,0.00000000,0.01611365,20.70411657,9,0.01611365
4260567,0.51800000,0.00000000,0.51800000,21.22211657,10,0.51800000
4267638,0.02061752,0.00000000,0.02061752,21.24273408,11,0.02061752
4267652,0.09964394,0.00000000,0.09964394,21.34237803,11,0.09964394
4269470,0.14673100,0.00000000,0.14673100,21.48910903,12,0.14673100
4270385,0.04600000,0.00000000,0.04600000,21.53510903,13,0.04600000
4282088,0.00330000,0.00000000,0.00330000,21.53840903,14,0.00330000
4282944,0.30000000,0.00000000,0.30000000,21.83840903,15,0.30000000
4287766,0.10000000,0.00000000,0.10000000,21.93840903,16,0.10000000
4290623,4.00000000,0.00000000,4.00000000,25.93840903,17,4.00000000
4295341,0.10100000,0.00000000,0.10100000,26.03940903,18,0.10100000
4301805,0.10305171,0.00000000,0.10305171,26.14246074,19,0.10305171
4302889,0.08996444,0.00000000,0.08996444,26.23242518,20,0.08996444
4303475,0.35000000,0.00000000,0.35000000,26.58242518,21,0.35000000
4309300,2.00000000,0.00000000,2.00000000,28.58242518,22,2.00000000
4310564,0.05000000,0.00000000,0.05000000,28.63242518,23,0.05000000
