block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
2469288,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
2469329,0.00000000,1.00000000,-1.00000000,0.00000000,1,1.00000000
2473226,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
2473260,0.00000000,1.00000000,-1.00000000,0.00000000,1,1.00000000
2473275,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
2473302,0.00000000,1.00000000,-1.00000000,0.00000000,1,1.00000000
2473323,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
2473886,0.00000000,1.00000000,-1.00000000,0.00000000,1,1.00000000
2474293,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
2474298,0.00000000,1.00000000,-1.00000000,0.00000000,1,1.00000000
2474318,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
2474325,0.00000000,1.00000000,-1.00000000,0.00000000,1,1.00000000
2639381,1.00000000,0.00000000,1.00000000,1.00000000,2,1.00000000
2673974,0.00000000,1.00000000,-1.00000000,0.00000000,2,1.00000000
2673986,1.00000000,0.00000000,1.00000000,1.00000000,2,1.00000000
2673993,1.00000000,2.00000000,-1.00000000,0.00000000,2,2.00000000
2718074,1.00000000,0.00000000,1.00000000,1.00000000,3,1.00000000
2989612,1.00000000,0.00000000,1.00000000,2.00000000,3,1.00000000
2990365,1.00000000,0.00000000,1.00000000,3.00000000,3,1.00000000
3011726,0.00000000,3.00000000,-3.00000000,0.00000000,3,3.00000000
3081637,1.00000000,0.00000000,1.00000000,1.00000000,4,1.00000000
3176991,0.00000000,1.00000000,-1.00000000,0.00000000,4,1.00000000
3314325,0.01000000,0.00000000,0.01000000,0.01000000,5,0.01000000
3512166,0.01000000,0.00000000,0.01000000,0.02000000,6,0.01000000
3579189,0.01000000,0.00000000,0.01000000,0.03000000,7,0.01000000
3654528,0.01000000,0.00000000,0.01000000,0.04000000,8,0.01000000
3787385,0.01000000,0.00000000,0.01000000,0.05000000,9,0.01000000
3800365,0.01000000,0.00000000,0.01000000,0.06000000,10,0.01000000
3963949,0.01000000,0.00000000,0.01000000,0.07000000,11,0.01000000
4089290,0.01000000,0.00000000,0.01000000,0.08000000,12,0.01000000
4190933,0.01000000,0.00000000,0.01000000,0.09000000,13,0.01000000
4357221,0.01000000,0.00000000,0.01000000,0.10000000,14,0.01000000
4357254,0.01000000,0.00000000,0.01000000,0.11000000,14,0.01000000
4376261,0.01000000,0.00000000,0.01000000,0.12000000,15,0.01000000
4562915,0.01000000,0.00000000,0.01000000,0.13000000,16,0.01000000
4994705,0.00000000,0.13000000,-0.13000000,-0.00000000,16,0.13000000
4998930,0.01000000,0.00000000,0.01000000,0.01000000,17,0.01000000
5170916,0.01000000,0.00000000,0.01000000,0.02000000,18,0.01000000
5173731,0.01000000,0.00000000,0.01000000,0.03000000,19,0.01000000
5715257,0.01000000,0.00000000,0.01000000,0.04000000,20,0.01000000
5777022,0.01000000,0.00000000,0.01000000,0.05000000,21,0.01000000
7178641,0.01000000,0.00000000,0.01000000,0.06000000,22,0.01000000
