block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3963823,0.03065750,0.00000000,0.03065750,0.03065750,1,0.03065750
3965381,6.10000000,0.00000000,6.10000000,6.13065750,2,6.10000000
3965617,5.00000000,0.00000000,5.00000000,11.13065750,3,5.00000000
3965705,25.00000000,0.00000000,25.00000000,36.13065750,4,25.00000000
3965934,0.50000000,0.00000000,0.50000000,36.63065750,5,0.50000000
3966419,0.18000000,0.00000000,0.18000000,36.81065750,6,0.18000000
3966883,1.70000000,0.00000000,1.70000000,38.51065750,7,1.70000000
3967136,1.00000000,0.00000000,1.00000000,39.51065750,7,1.00000000
3967253,0.33300000,0.00000000,0.33300000,39.84365750,8,0.33300000
3968628,3.00258220,0.00000000,3.00258220,42.84623970,9,3.00258220
3969877,0.50000000,0.00000000,0.50000000,43.34623970,10,0.50000000
3970573,0.08700000,0.00000000,0.08700000,43.43323970,11,0.08700000
3970585,0.77000000,0.00000000,0.77000000,44.20323970,12,0.77000000
3970591,0.77000000,0.00000000,0.77000000,44.97323970,12,0.77000000
3970596,0.76976259,0.00000000,0.76976259,45.74300229,12,0.76976259
3970613,0.76000000,0.00000000,0.76000000,46.50300229,12,0.76000000
3971733,1.00000000,0.00000000,1.00000000,47.50300229,13,1.00000000
3972659,0.08000000,0.00000000,0.08000000,47.58300229,14,0.08000000
3973132,0.00000000,43.94023970,-43.94023970,3.64276259,15,43.94023970
3974289,0.20000000,0.00000000,0.20000000,3.84276259,16,0.20000000
3977730,0.10000000,0.00000000,0.10000000,3.94276259,17,0.10000000
3977891,0.30000000,0.00000000,0.30000000,4.24276259,18,0.30000000
3979138,0.30000000,0.00000000,0.30000000,4.54276259,19,0.30000000
3979144,0.12204268,0.00000000,0.12204268,4.66480526,19,0.12204268
4009548,0.21535684,0.00000000,0.21535684,4.88016211,20,0.21535684
4009586,4.13902602,0.00000000,4.13902602,9.01918812,20,4.13902602
4009786,4.21564093,0.00000000,4.21564093,13.23482906,21,4.21564093
4012344,1.00000000,0.00000000,1.00000000,14.23482906,22,1.00000000
4020919,7.40936430,0.00000000,7.40936430,21.64419336,23,7.40936430
4021208,0.87992922,0.00000000,0.87992922,22.52412258,24,0.87992922
4021252,0.65703050,0.00000000,0.65703050,23.18115309,25,0.65703050
4021842,2.60134463,0.00000000,2.60134463,25.78249772,26,2.60134463
4022090,5.00000000,0.00000000,5.00000000,30.78249772,27,5.00000000
4027866,0.10000000,0.00000000,0.10000000,30.88249772,28,0.10000000
4029743,0.04000000,0.00000000,0.04000000,30.92249772,29,0.04000000
4030234,0.00000000,27.27973514,-27.27973514,3.64276259,29,27.27973514
4034380,0.00100000,0.00000000,0.00100000,3.64376259,30,0.00100000
4034426,9.58003456,0.00000000,9.58003456,13.22379714,30,9.58003456
4034673,0.00000000,9.58103456,-9.58103456,3.64276259,30,9.58103456
4034751,9.83176556,0.00000000,9.83176556,13.47452815,31,9.83176556
4034945,7.74305418,0.00000000,7.74305418,21.21758233,32,7.74305418
4035035,4.61840817,0.00000000,4.61840817,25.83599050,33,4.61840817
4035178,8.81567207,0.00000000,8.81567207,34.65166257,34,8.81567207
4035416,0.00000000,31.00889999,-31.00889999,3.64276259,34,31.00889999
4035758,0.29281669,0.00000000,0.29281669,3.93557928,35,0.29281669
4035926,18.26079032,0.00000000,18.26079032,22.19636960,36,18.26079032
4036196,10.77598676,0.00000000,10.77598676,32.97235636,37,10.77598676
4036864,0.17082952,0.00000000,0.17082952,33.14318589,38,0.17082952
4036907,0.28156721,0.00000000,0.28156721,33.42475310,39,0.28156721
4038589,0.00000000,29.78199051,-29.78199051,3.64276259,39,29.78199051
4038784,0.06650123,0.00000000,0.06650123,3.70926381,40,0.06650123
4038823,0.13624883,0.00000000,0.13624883,3.84551264,41,0.13624883
4039548,1.01482870,0.00000000,1.01482870,4.86034135,42,1.01482870
4039784,11.99466485,0.00000000,11.99466485,16.85500620,43,11.99466485
4039811,9.43502713,0.00000000,9.43502713,26.29003333,44,9.43502713
4039814,2.01726107,0.00000000,2.01726107,28.30729440,45,2.01726107
4039851,2.78916232,0.00000000,2.78916232,31.09645672,46,2.78916232
4039870,1.48930859,0.00000000,1.48930859,32.58576532,47,1.48930859
4040000,0.00562439,0.00000000,0.00562439,32.59138971,48,0.00562439
4040114,0.00000000,28.94862713,-28.94862713,3.64276259,48,28.94862713
4100314,6.09043708,0.00000000,6.09043708,9.73319967,49,6.09043708
4161698,0.30000000,0.00000000,0.30000000,10.03319967,50,0.30000000
4169970,0.01000000,0.00000000,0.01000000,10.04319967,51,0.01000000
4205977,9.50000000,0.00000000,9.50000000,19.54319967,52,9.50000000
4244353,0.00000000,15.90043708,-15.90043708,3.64276259,52,15.90043708
4284219,4.99382751,0.00000000,4.99382751,8.63659009,53,4.99382751
4284223,0.10000000,0.00000000,0.10000000,8.73659009,54,0.10000000
4284224,0.10000000,0.00000000,0.10000000,8.83659009,54,0.10000000
4284353,5.08658702,0.00000000,5.08658702,13.92317711,54,5.08658702
4285347,0.00000000,10.28041452,-10.28041452,3.64276259,54,10.28041452
4285724,9.97175293,0.00000000,9.97175293,13.61451551,55,9.97175293
4285958,0.00000000,9.97175293,-9.97175293,3.64276259,55,9.97175293
4288676,0.40000000,0.00000000,0.40000000,4.04276259,56,0.40000000
4289484,7.40413337,0.00000000,7.40413337,11.44689595,57,7.40413337
4291483,0.00000000,7.80413337,-7.80413337,3.64276259,57,7.80413337
4296403,6.87399551,0.00000000,6.87399551,10.51675809,58,6.87399551
4309368,0.19000000,0.00000000,0.19000000,10.70675809,59,0.19000000
4316668,0.00000000,7.06399551,-7.06399551,3.64276259,59,7.06399551
4330457,0.98000000,0.00000000,0.98000000,4.62276259,60,0.98000000
4334910,6.04199551,0.00000000,6.04199551,10.66475809,61,6.04199551
4337476,0.00000000,7.02199551,-7.02199551,3.64276259,61,7.02199551
4354957,3.80563600,0.00000000,3.80563600,7.44839859,62,3.80563600
4369206,0.00000000,3.80563600,-3.80563600,3.64276259,62,3.80563600
4427423,1.00000000,0.00000000,1.00000000,4.64276259,63,1.00000000
4429458,0.00000000,1.00000000,-1.00000000,3.64276259,63,1.00000000
4474910,0.11000000,0.00000000,0.11000000,3.75276259,64,0.10000000
4503657,0.00000000,1.00000000,-1.00000000,2.75276259,65,1.00000000
