block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1030779,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
1030781,0.10000000,0.19000000,-0.09000000,0.01000000,1,0.19000000
1031016,101.52000000,95.19000000,6.33000000,6.34000000,5,95.00000000
1031017,50.00000000,3.66700000,46.33300000,52.67300000,6,50.00000000
1031018,23.50000000,66.50000000,-43.00000000,9.67300000,6,66.50000000
1031021,50.00000000,27.72100000,22.27900000,31.95200000,6,50.00000000
1031026,50.00000000,0.00000000,50.00000000,81.95200000,6,50.00000000
1031028,29.02000000,95.00000000,-65.98000000,15.97200000,6,95.00000000
1031029,47.20000000,44.65000000,2.55000000,18.52200000,7,47.20000000
1031030,40.50000000,0.00000000,40.50000000,59.02200000,8,37.50000000
1031031,38.41000000,0.00000000,38.41000000,97.43200000,8,38.41000000
1031033,25.00000000,0.00000000,25.00000000,122.43200000,8,25.00000000
1031036,29.50000000,0.00000000,29.50000000,151.93200000,8,29.50000000
1031038,11.20000000,95.00000000,-83.80000000,68.13200000,8,95.00000000
1031039,40.00000000,0.00000000,40.00000000,108.13200000,8,40.00000000
1031040,3.47900000,0.00000000,3.47900000,111.61100000,8,3.47900000
1031044,75.00000000,95.00000000,-20.00000000,91.61100000,8,95.00000000
1031048,33.26500000,55.13800000,-21.87300000,69.73800000,8,55.13800000
1031051,50.00000000,0.00000000,50.00000000,119.73800000,8,50.00000000
1031055,8.73500000,0.00000000,8.73500000,128.47300000,8,8.73500000
1031058,0.20000000,0.00000000,0.20000000,128.67300000,8,0.20000000
1031070,12.63500000,0.00000000,12.63500000,141.30800000,8,12.63500000
1031078,0.73200000,0.00000000,0.73200000,142.04000000,8,0.73200000
1031079,23.67841000,89.68000000,-66.00159000,76.03841000,8,89.68000000
1031106,4.00000000,0.00000000,4.00000000,80.03841000,9,4.00000000
1031110,10.00000000,0.00000000,10.00000000,90.03841000,10,10.00000000
1031146,10.21600000,0.00000000,10.21600000,100.25441000,10,10.21600000
1031275,9.70000000,0.00000000,9.70000000,109.95441000,11,9.70000000
1031294,1.00000000,0.00000000,1.00000000,110.95441000,12,1.00000000
1031342,32.00000000,0.00000000,32.00000000,142.95441000,13,32.00000000
1031652,1.00000000,0.00000000,1.00000000,143.95441000,14,1.00000000
1032001,5.00000000,71.25000000,-66.25000000,77.70441000,14,71.25000000
1032285,1.00000000,0.00000000,1.00000000,78.70441000,15,1.00000000
1032355,0.00000000,38.91402050,-38.91402050,39.79038950,16,38.91402050
1033787,0.97000000,0.00000000,0.97000000,40.76038950,17,0.97000000
1039681,2.00000000,0.00000000,2.00000000,42.76038950,18,1.00000000
1053557,1.00000000,0.00000000,1.00000000,43.76038950,18,1.00000000
1065278,1.00000000,0.00000000,1.00000000,44.76038950,18,1.00000000
1069690,0.70000000,5.70000000,-5.00000000,39.76038950,19,5.70000000
1087924,0.00000000,0.06688950,-0.06688950,39.69350000,19,0.06688950
1088238,0.00000000,0.28350000,-0.28350000,39.41000000,19,0.28350000
1088394,1.00000000,0.00000000,1.00000000,40.41000000,20,1.00000000
1099021,0.00000000,1.00000000,-1.00000000,39.41000000,20,0.95000000
