block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1196027,0.05000000,0.00151515,0.04848485,0.04848485,2,0.05000000
1202947,0.05000000,0.00753030,0.04246970,0.09095455,2,0.05000000
1203793,0.05100000,0.00607576,0.04492424,0.13587879,2,0.05100000
1204673,0.05000000,0.00609091,0.04390909,0.17978788,3,0.05000000
1204689,0.05000000,0.00609091,0.04390909,0.22369697,3,0.05000000
1207417,0.05100000,0.00765121,0.04334879,0.26704576,3,0.05100000
1209074,0.50000000,0.02280273,0.47719727,0.74424303,4,0.50000000
1209573,20.00000000,0.67860606,19.32139394,20.06563697,5,10.00000000
1209631,5.00000000,0.18778788,4.81221212,24.87784909,6,5.00000000
1210002,0.10000000,0.64860606,-0.54860606,24.32924303,7,0.17430303
1210007,0.05000000,0.32430303,-0.27430303,24.05494000,7,0.17430303
1210013,0.05000000,0.32430303,-0.27430303,23.78063697,8,0.17430303
1210028,0.05000000,0.17731818,-0.12731818,23.65331879,8,0.17581818
1210030,0.05000000,0.17883333,-0.12883333,23.52448545,8,0.17733333
1210059,5.00000000,0.33034848,4.66965152,28.19413697,9,5.00000000
1210072,0.05000000,0.48036364,-0.43036364,27.76377333,9,0.33036364
1210079,50.10380942,1.85016089,48.25364853,76.01742186,10,50.10380942
1210114,9.99000000,0.00000000,9.99000000,86.00742186,11,9.99000000
1210161,0.05000000,3.35329033,-3.30329033,82.70413154,11,1.85017604
1210165,0.05000000,1.85319119,-1.80319119,80.90094034,11,1.85169119
1210170,0.05000000,1.85470635,-1.80470635,79.09623400,11,1.85320635
1210174,0.05000000,1.85622150,-1.80622150,77.29001250,11,1.85472150
1210180,13.79522020,2.27425847,11.52096173,88.81097422,11,13.79522020
1210204,29.97000000,0.00000000,29.97000000,118.78097422,11,9.99000000
1210206,2.05000000,7.44516233,-5.39516233,113.38581190,11,2.33487969
1210207,0.05000000,2.33789484,-2.28789484,111.09791706,11,2.33639484
1210208,0.05000000,2.33940999,-2.28940999,108.80850707,11,2.33790999
1210212,0.10000000,4.68336543,-4.58336543,104.22514164,11,2.34094029
1210213,0.05000000,2.34395544,-2.29395544,101.93118620,11,2.34245544
1210560,0.01000000,0.01000000,0.00000000,101.93118620,12,0.01000000
1210562,0.11000000,2.35698575,-2.24698575,99.68420045,12,2.34548575
1210565,0.01000000,0.01000000,0.00000000,99.68420045,12,0.01000000
1210566,0.02000000,0.02000000,0.00000000,99.68420045,12,0.01000000
1210568,0.01000000,0.01000000,0.00000000,99.68420045,12,0.01000000
1210570,1.03000000,2.41478878,-1.38478878,98.29941167,13,2.37578878
1210585,1.00000000,0.00000000,1.00000000,99.29941167,14,1.00000000
1210591,0.01000000,0.01000000,0.00000000,99.29941167,14,0.01000000
1210594,0.01000000,0.01000000,0.00000000,99.29941167,14,0.01000000
1210595,2.90000000,2.49366756,0.40633244,99.70574411,15,2.90000000
1210597,0.01000000,0.01000000,0.00000000,99.70574411,15,0.01000000
1210599,0.01000000,0.01000000,0.00000000,99.70574411,15,0.01000000
1210600,0.01000000,0.01000000,0.00000000,99.70574411,15,0.01000000
1210601,0.03000000,0.03000000,0.00000000,99.70574411,15,0.01000000
1210604,0.98000000,2.60945544,-1.62945544,98.07628867,16,2.49245544
1210607,0.02000000,0.02000000,0.00000000,98.07628867,16,0.01000000
1210610,15.00000000,2.97550090,12.02449910,110.10078777,16,15.00000000
1210616,5.00000000,3.54851605,1.45148395,111.55227172,16,5.00000000
1210618,10.00000000,3.55154635,6.44845365,118.00072537,17,10.00000000
1210627,1.00000000,3.73184938,-2.73184938,115.26887598,18,3.43184938
1210630,1.00000000,3.49215241,-2.49215241,112.77672357,18,3.46215241
1210636,1.00000000,3.52245544,-2.52245544,110.25426813,18,3.49245544
1210637,1.00000000,3.55275847,-2.55275847,107.70150966,18,3.52275847
1210642,1.00000000,3.58306150,-2.58306150,105.11844815,18,3.55306150
1210645,3.31670723,7.35735607,-4.04064884,101.07779931,20,3.65356778
1210648,1.00000000,3.70409132,-2.70409132,98.37370799,20,3.64403126
1210649,1.00000000,3.70433429,-2.70433429,95.66937370,20,3.67433429
1210655,1.00000000,3.73463732,-2.73463732,92.93473637,20,3.70463732
1210657,32.00000000,14.89209378,17.10790622,110.04264259,20,30.00000000
1210658,1.00000000,4.73463732,-3.73463732,106.30800527,20,4.70463732
1210660,1.31254927,4.77441154,-3.46186227,102.84614300,20,4.74441154
1210667,2.00000000,9.64910865,-7.64910865,95.19703434,20,4.80501760
1210669,1.00000000,4.86532063,-3.86532063,91.33171371,20,4.83532063
1210670,1.00000000,4.89562366,-3.89562366,87.43609005,20,4.86562366
1210671,2.00000000,9.94215642,-7.94215642,79.49393363,20,4.92622972
1210675,0.24600000,4.96368427,-4.71768427,74.77624936,21,4.93368427
1210682,0.20000000,4.94712488,-4.74712488,70.02912448,21,4.93974488
1210683,0.20000000,4.95180548,-4.75180548,65.27731900,21,4.94580548
1210690,0.20000000,4.95786609,-4.75786609,60.51945292,21,4.95186609
1210697,30.00000000,5.86695700,24.13304300,84.65249592,22,30.00000000
1210758,2.00000000,6.82156306,-4.82156306,79.83093286,23,5.92156306
1210868,49.99784404,7.49664924,42.50119480,122.33212766,24,49.99784404
1210944,1.00000000,8.96688759,-7.96688759,114.36524007,25,7.46695227
1210960,0.98911071,7.52692532,-6.53781461,107.82742545,26,7.49692532
1211172,1.30000000,7.55690167,-6.25690167,101.57052378,28,7.52722835
1211244,0.05000000,7.55874350,-7.50874350,94.06178028,28,7.52874350
1211265,0.20000000,7.53630411,-7.33630411,86.72547617,29,7.53480411
1211274,10.00000000,7.84383441,2.15616559,88.88164175,30,10.00000000
1211310,0.05000000,8.13934956,-8.08934956,80.79229219,30,7.83934956
1211313,0.05000000,7.84236472,-7.79236472,72.99992747,30,7.84086472
1211316,0.05000000,7.84387987,-7.79387987,65.20604760,30,7.84237987
1211318,0.05000000,0.00150000,0.04850000,65.25454760,30,0.05000000
1211321,0.05000000,7.84691017,-7.79691017,57.45763743,30,7.84541017
1211322,0.05000000,0.00150000,0.04850000,57.50613743,30,0.05000000
1211328,13.00000000,8.24236472,4.75763528,62.26377272,30,13.00000000
1211329,4.99000000,0.00000000,4.99000000,67.25377272,31,4.99000000
1211335,0.48000000,0.00000000,0.48000000,67.73377272,32,0.48000000
1211347,0.47000000,0.00000000,0.47000000,68.20377272,32,0.47000000
1211396,0.05000000,0.00000000,0.05000000,68.25377272,32,0.05000000
1211459,0.05000000,0.00000000,0.05000000,68.30377272,32,0.05000000
1211496,0.30000000,0.00000000,0.30000000,68.60377272,32,0.30000000
1211669,0.47000000,0.00000000,0.47000000,69.07377272,32,0.47000000
1211687,1.00000000,0.39000000,0.61000000,69.68377272,33,1.00000000
1211761,0.47000000,0.03000000,0.44000000,70.12377272,34,0.47000000
1212538,0.50000000,0.01410000,0.48590000,70.60967272,35,0.50000000
1212567,0.10000000,0.00000000,0.10000000,70.70967272,36,0.10000000
1212615,1.00000000,0.00000000,1.00000000,71.70967272,36,1.00000000
1212774,0.05000000,0.01500000,0.03500000,71.74467272,37,0.05000000
1212788,10.00000000,8.60960714,1.39039286,73.13506558,38,10.00000000
1212876,0.10000000,0.30000000,-0.20000000,72.93506558,39,0.30000000
1213009,0.98250000,0.00300000,0.97950000,73.91456558,40,0.98250000
1213568,0.10000000,8.64094047,-8.54094047,65.37362510,41,8.64094047
1213633,0.99500000,0.02947500,0.96552500,66.33915010,42,0.99500000
1213919,50.00000000,0.00000000,50.00000000,116.33915010,43,50.00000000
1214143,0.05000000,0.03247500,0.01752500,116.35667510,44,0.05000000
1214148,0.05000000,0.00150000,0.04850000,116.40517510,44,0.05000000
1214169,0.50000000,0.00150000,0.49850000,116.90367510,45,0.50000000
1214193,1.00000000,0.00000000,1.00000000,117.90367510,46,1.00000000
1214206,1.10000000,0.00000000,1.10000000,119.00367510,46,1.10000000
1214208,0.09033684,0.01500000,0.07533684,119.07901194,47,0.09033684
1214213,3.00000000,0.00271011,2.99728989,122.07630184,47,3.00000000
1214335,9.00000000,9.11549614,-0.11549614,121.96080570,47,9.02549614
1214339,0.05000000,0.27000000,-0.22000000,121.74080570,47,0.27000000
1214341,0.05000000,0.00150000,0.04850000,121.78930570,47,0.05000000
1214345,0.10000000,0.00300000,0.09700000,121.88630570,47,0.05000000
1214347,15.00000000,9.48760220,5.51239780,127.39870350,47,15.00000000
1214352,0.05000000,0.45000000,-0.40000000,126.99870350,47,0.45000000
1214353,0.05000000,0.00150000,0.04850000,127.04720350,47,0.05000000
1214375,0.05000000,0.00150000,0.04850000,127.09570350,47,0.05000000
1214619,0.10000000,0.00150000,0.09850000,127.19420350,48,0.10000000
1214679,0.05000000,0.00000000,0.05000000,127.24420350,49,0.05000000
1216236,0.10000000,0.00150000,0.09850000,127.34270350,50,0.10000000
1216335,0.05000000,0.00300000,0.04700000,127.38970350,50,0.05000000
1216349,0.05000000,0.00150000,0.04850000,127.43820350,50,0.05000000
1216355,0.05000000,0.00150000,0.04850000,127.48670350,50,0.05000000
1216358,0.05000000,0.00150000,0.04850000,127.53520350,50,0.05000000
1216369,0.05000000,0.00150000,0.04850000,127.58370350,50,0.05000000
1220280,14.97000000,9.95639008,5.01360992,132.59731343,51,14.97000000
1220446,1.00000000,9.53305674,-8.53305674,124.06425669,51,9.53155674
1220581,2.00000000,9.56335977,-7.56335977,116.50089692,52,9.56185977
1255526,0.02500000,0.02500000,0.00000000,116.50089692,53,0.02500000
1260751,0.05000000,0.18000000,-0.13000000,116.37089692,53,0.18000000
1309108,0.10000000,0.00150000,0.09850000,116.46939692,53,0.10000000
5199255,0.00001000,0.00000000,0.00001000,116.46940692,54,0.00001000
5199771,0.00001000,0.00000000,0.00001000,116.46941692,54,0.00001000
5199786,0.00001000,0.00001000,0.00000000,116.46941692,54,0.00001000
5199818,0.00000000,0.00000000,0.00000000,116.46941692,54,0.00000000
5199847,0.00000000,0.00000000,0.00000000,116.46941692,54,0.00000000
6036811,0.00000100,0.00000100,0.00000000,116.46941692,55,0.00000100
