block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4067510,0.01000000,0.00000000,0.01000000,0.01000000,1,0.01000000
4067514,0.00000000,0.00407353,-0.00407353,0.00592647,2,0.00407353
4067517,0.05000000,0.00000000,0.05000000,0.05592647,3,0.05000000
4067538,0.01000000,0.00407353,0.00592647,0.06185294,4,0.01000000
4067545,0.00000000,0.01750000,-0.01750000,0.04435294,4,0.01750000
4067601,0.00000000,0.00407353,-0.00407353,0.04027941,4,0.00407353
4068097,0.00000000,0.01750000,-0.01750000,0.02277941,4,0.01750000
4075862,0.01000000,0.00000000,0.01000000,0.03277941,4,0.01000000
4076068,0.01000000,0.00000000,0.01000000,0.04277941,4,0.01000000
4076558,0.01000000,0.00407353,0.00592647,0.04870588,4,0.01000000
4076562,0.00000000,0.00407353,-0.00407353,0.04463235,4,0.00407353
4076583,0.00000000,0.00000000,-0.00000000,0.04463235,4,0.00000000
4076595,0.00000000,0.00000000,-0.00000000,0.04463235,4,0.00000000
4077855,0.01000000,0.00407353,0.00592647,0.05055882,4,0.01000000
4077870,0.00000000,0.00407353,-0.00407353,0.04648529,4,0.00407353
4077886,0.00000000,0.01750000,-0.01750000,0.02898529,4,0.01750000
4078648,0.30000000,0.00000000,0.30000000,0.32898529,4,0.30000000
4081592,0.01000000,0.00000000,0.01000000,0.33898529,5,0.01000000
4081619,0.01000000,0.00000000,0.01000000,0.34898529,5,0.01000000
4081636,0.01000000,0.00407353,0.00592647,0.35491176,5,0.01000000
4081658,0.01000000,0.00407353,0.00592647,0.36083823,5,0.01000000
4081660,0.00000000,0.00407353,-0.00407353,0.35676470,5,0.00407353
4081668,0.00000000,0.01750000,-0.01750000,0.33926470,5,0.01750000
4084473,0.01000000,0.00407353,0.00592647,0.34519117,5,0.01000000
4084478,0.00000000,0.00407353,-0.00407353,0.34111764,5,0.00407353
4084491,0.00000000,0.01750000,-0.01750000,0.32361764,5,0.01750000
4084670,0.01000000,0.00407353,0.00592647,0.32954411,5,0.01000000
4084672,0.00000000,0.00407353,-0.00407353,0.32547058,5,0.00407353
4084699,0.00000000,0.01750000,-0.01750000,0.30797058,5,0.01750000
4085353,0.01000000,0.00407353,0.00592647,0.31389705,5,0.01000000
4085355,0.01000000,0.00814706,0.00185294,0.31574999,5,0.01000000
4085357,0.00000000,0.00407353,-0.00407353,0.31167646,5,0.00407353
4085363,0.00000000,0.01750000,-0.01750000,0.29417646,5,0.01750000
4085365,0.00000000,0.01750000,-0.01750000,0.27667646,5,0.01750000
4085367,0.00000000,0.00000000,-0.00000000,0.27667646,5,0.00000000
4085509,0.01000000,0.00407353,0.00592647,0.28260293,5,0.01000000
4085513,0.00000000,0.00407353,-0.00407353,0.27852940,5,0.00407353
4085521,0.00000000,0.01750000,-0.01750000,0.26102940,5,0.01750000
4085752,0.01000000,0.00407353,0.00592647,0.26695587,5,0.01000000
4085755,0.01000000,0.00814706,0.00185294,0.26880881,5,0.01000000
4085756,0.01000000,0.00407353,0.00592647,0.27473528,5,0.01000000
4085758,0.00000000,0.00814706,-0.00814706,0.26658822,5,0.00407353
4085771,0.00000000,0.00000000,-0.00000000,0.26658822,5,0.00000000
4085774,0.00000000,0.00000000,-0.00000000,0.26658822,5,0.00000000
4085814,0.01000000,0.00407353,0.00592647,0.27251469,5,0.01000000
4085816,0.00000000,0.00407353,-0.00407353,0.26844116,5,0.00407353
4085817,0.01000000,0.00407353,0.00592647,0.27436763,5,0.01000000
4085837,0.00000000,0.00000000,-0.00000000,0.27436763,5,0.00000000
4085841,0.00000000,0.00000000,-0.00000000,0.27436763,5,0.00000000
4085882,0.00000000,0.00407353,-0.00407353,0.27029410,5,0.00407353
4085892,0.00000000,0.01750000,-0.01750000,0.25279410,5,0.01750000
4088609,0.01000000,0.00407353,0.00592647,0.25872057,5,0.01000000
4088611,0.00000000,0.00407353,-0.00407353,0.25464705,5,0.00407353
4088618,0.00000000,0.01750000,-0.01750000,0.23714705,5,0.01750000
4088687,0.01000000,0.00407353,0.00592647,0.24307352,5,0.01000000
4088740,0.00000000,0.00407353,-0.00407353,0.23899999,5,0.00407353
4088751,0.00000000,0.00000000,-0.00000000,0.23899999,5,0.00000000
4088830,0.01000000,0.00407353,0.00592647,0.24492646,5,0.01000000
4088833,0.00000000,0.00407353,-0.00407353,0.24085293,5,0.00407353
4088853,0.00000000,0.01750000,-0.01750000,0.22335293,5,0.01750000
4089094,0.01000000,0.00407353,0.00592647,0.22927940,5,0.01000000
4089096,0.00000000,0.00407353,-0.00407353,0.22520587,5,0.00407353
4089109,0.00000000,0.00000000,-0.00000000,0.22520587,5,0.00000000
4090458,0.01010000,0.00407353,0.00602647,0.23123234,6,0.01010000
4090462,0.00000000,0.00407353,-0.00407353,0.22715881,6,0.00407353
4090468,0.00000000,0.00000000,-0.00000000,0.22715881,6,0.00000000
4090632,0.01001000,0.00407353,0.00593647,0.23309528,6,0.01001000
4090674,0.00000000,0.00407353,-0.00407353,0.22902175,6,0.00407353
4090684,0.00000000,0.00000000,-0.00000000,0.22902175,6,0.00000000
4090705,0.01001000,0.00407353,0.00593647,0.23495822,6,0.01001000
4090707,0.00000000,0.00407353,-0.00407353,0.23088469,6,0.00407353
4090714,0.00000000,0.01751750,-0.01751750,0.21336719,6,0.01751750
4090790,0.01001000,0.00407353,0.00593647,0.21930366,6,0.01001000
