block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1305005,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
1305033,0.20000000,0.14000000,0.06000000,0.16000000,2,0.20000000
1305662,0.24578680,0.28000000,-0.03421320,0.12578680,3,0.28000000
1307002,0.27458000,0.34410152,-0.06952152,0.05626528,4,0.34410152
1307117,0.33868152,0.00000000,0.33868152,0.39494680,5,0.33868152
1308137,1.34364377,0.72805577,0.61558800,1.01053480,6,1.34364377
1308253,0.01000000,0.00000000,0.01000000,1.02053480,7,0.01000000
1308306,1.00000000,0.38441200,0.61558800,1.63612280,7,1.00000000
1310139,0.10000000,0.38441200,-0.28441200,1.35171080,8,0.38441200
1310223,0.47774224,0.48815413,-0.01041189,1.34129891,9,0.47774224
1310245,0.09817136,0.14000000,-0.04182864,1.29947027,10,0.14000000
1310251,0.19845008,0.00000000,0.19845008,1.49792035,10,0.19845008
1310253,0.27496208,0.00000000,0.27496208,1.77288243,10,0.27496208
1310259,0.08579008,0.00000000,0.08579008,1.85867251,11,0.08579008
1330863,0.52542955,1.08410915,-0.55867960,1.29999291,11,0.66883914
1334867,0.40500000,0.38494691,0.02005309,1.32004600,11,0.40500000
1334879,0.26003146,0.12010611,0.13992534,1.45997134,11,0.26003146
1340432,0.09500000,0.00000000,0.09500000,1.55497134,12,0.09500000
1340514,0.15000000,0.00000000,0.15000000,1.70497134,12,0.15000000
1340516,0.11855619,0.00000000,0.11855619,1.82352753,12,0.11855619
1340518,0.21670000,0.00000000,0.21670000,2.04022753,13,0.21670000
1340524,0.23149315,0.73560137,-0.50410822,1.53611932,13,0.73560137
1340531,0.17020170,0.00000000,0.17020170,1.70632101,13,0.17020170
1340545,0.12412008,0.00000000,0.12412008,1.83044109,14,0.12412008
1340548,0.22979616,0.56700000,-0.33720384,1.49323725,15,0.56700000
1340552,0.30000000,0.46865389,-0.16865389,1.32458337,16,0.36404404
1340553,0.14640094,0.00000000,0.14640094,1.47098431,16,0.14640094
1340555,0.20779616,0.13300000,0.07479616,1.54578047,16,0.20779616
1340564,0.14449710,0.21000000,-0.06550290,1.48027757,16,0.21000000
1340566,0.32783400,0.16597867,0.16185533,1.64213290,16,0.32783400
1340569,0.22520761,0.30338000,-0.07817239,1.56396051,16,0.30338000
1340757,0.16407483,0.32409041,-0.16001558,1.40394492,16,0.32409041
1341818,0.29755938,0.23828237,0.05927700,1.46322193,16,0.29755938
1343172,0.10000000,0.00000000,0.10000000,1.56322193,17,0.10000000
1343202,0.10270601,0.17376811,-0.07106210,1.49215982,17,0.17376811
1343205,0.17221819,0.00000000,0.17221819,1.66437801,17,0.17221819
1343207,0.32218657,0.32171462,0.00047195,1.66484996,17,0.32218657
1343213,0.73940461,0.91321056,-0.17380595,1.49104401,17,0.53940461
1343216,0.41809616,0.45896760,-0.04087144,1.45017257,17,0.45896760
1343218,0.28901078,0.29133462,-0.00232384,1.44784873,17,0.29133462
1343230,0.20039210,0.02395603,0.17643607,1.62428481,17,0.20039210
1343240,0.86630741,0.93007630,-0.06376889,1.56051591,17,0.86630741
1343989,1.00000000,1.08371249,-0.08371249,1.47680342,17,1.00000000
1346205,0.53306431,0.00000000,0.53306431,2.00986773,17,0.53306431
1346209,0.46848639,0.75516646,-0.28668007,1.72318766,17,0.75516646
1346217,0.75290870,0.98994972,-0.23704102,1.48614664,17,0.75290870
1346241,0.85186862,0.28054894,0.57131968,2.05746632,17,0.44915736
1346273,0.90000000,1.21283037,-0.31283037,1.74463595,17,1.21283037
1346284,0.27899902,0.00000000,0.27899902,2.02363497,17,0.27899902
1346287,1.00000000,1.40000000,-0.40000000,1.62363497,17,1.40000000
1347909,0.39495833,0.10360571,0.29135262,1.91498759,18,0.39495833
1348737,0.01000000,0.00000000,0.01000000,1.92498759,18,0.01000000
1355812,0.10000000,0.00000000,0.10000000,2.02498759,18,0.10000000
1372990,0.09345008,0.00000000,0.09345008,2.11843767,19,0.09345008
1390432,0.10000000,0.74629004,-0.64629004,1.47214764,20,0.74629004
4021058,0.00016811,0.00000000,0.00016811,1.47231575,20,0.00016811
4021061,0.00400154,0.00000000,0.00400154,1.47631729,20,0.00400154
4129231,0.03040282,0.00000000,0.03040282,1.50672011,21,0.03040282
