block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3888043,0.20000000,0.00000000,0.20000000,0.20000000,1,0.20000000
3888105,0.20000000,0.00000000,0.20000000,0.40000000,2,0.20000000
3888139,0.10000000,0.00000000,0.10000000,0.50000000,2,0.10000000
3888148,0.15000000,0.00000000,0.15000000,0.65000000,2,0.15000000
3888158,0.00000000,0.01468650,-0.01468650,0.63531350,3,0.01468650
3888224,0.00000000,0.01388650,-0.01388650,0.62142700,3,0.01388650
3888239,0.01000000,0.00000000,0.01000000,0.63142700,3,0.01000000
3893589,0.00000000,0.01328650,-0.01328650,0.61814051,3,0.01328650
3894327,0.02000000,0.00000000,0.02000000,0.63814051,4,0.02000000
3896603,0.01000000,0.00000000,0.01000000,0.64814051,5,0.01000000
3896605,0.10000000,0.00000000,0.10000000,0.74814051,5,0.10000000
3898922,0.00000000,0.01328650,-0.01328650,0.73485401,5,0.01328650
3899566,0.10000000,0.00000000,0.10000000,0.83485401,6,0.10000000
3899569,0.50000000,0.00000000,0.50000000,1.33485401,6,0.50000000
3904797,0.01000000,0.00000000,0.01000000,1.34485401,7,0.01000000
3904816,0.02000000,0.00000000,0.02000000,1.36485401,7,0.02000000
3904837,0.01000000,0.00000000,0.01000000,1.37485401,7,0.01000000
3909921,0.00000000,0.01428650,-0.01428650,1.36056751,7,0.01428650
3913537,0.00000000,0.01428650,-0.01428650,1.34628101,7,0.01428650
3913591,0.00000000,0.01348650,-0.01348650,1.33279451,7,0.01348650
3914706,0.05000000,0.00000000,0.05000000,1.38279451,7,0.05000000
3914789,0.00000000,0.10797123,-0.10797123,1.27482328,7,0.10797123
3918549,0.00000000,0.01288650,-0.01288650,1.26193678,7,0.01288650
3920724,0.00000000,0.01938154,-0.01938154,1.24255524,7,0.01938154
3923720,0.00000000,0.01208650,-0.01208650,1.23046874,7,0.01208650
3925129,0.15000000,0.00000000,0.15000000,1.38046874,7,0.15000000
3927724,0.10000000,0.00000000,0.10000000,1.48046874,7,0.10000000
3928717,0.00000000,0.01448650,-0.01448650,1.46598224,7,0.01448650
3934825,0.00000000,0.01368650,-0.01368650,1.45229574,7,0.01368650
3939875,0.00000000,0.01308650,-0.01308650,1.43920924,7,0.01308650
3944862,0.00000000,0.01248650,-0.01248650,1.42672275,7,0.01248650
3949868,0.00000000,0.01189977,-0.01189977,1.41482298,7,0.01189977
3951221,0.01000000,0.00000000,0.01000000,1.42482298,8,0.01000000
3954871,0.00000000,0.01149977,-0.01149977,1.41332321,8,0.01149977
3955173,0.00000000,0.90613907,-0.90613907,0.50718414,8,0.90613907
3959962,0.00000000,0.01069977,-0.01069977,0.49648437,8,0.01069977
3964985,0.00000000,0.01029977,-0.01029977,0.48618460,8,0.01029977
3968874,0.20000000,0.00000000,0.20000000,0.68618460,9,0.10000000
3970051,0.00000000,0.01029977,-0.01029977,0.67588483,9,0.01029977
3975134,0.00000000,0.00989977,-0.00989977,0.66598506,9,0.00989977
3980202,0.00000000,0.00969977,-0.00969977,0.65628529,9,0.00969977
3983720,0.01000000,0.00000000,0.01000000,0.66628529,10,0.01000000
3985241,0.00000000,0.00969977,-0.00969977,0.65658552,10,0.00969977
3990332,0.00000000,0.00949977,-0.00949977,0.64708575,10,0.00949977
3995439,0.00000000,0.00929977,-0.00929977,0.63778598,10,0.00929977
4000519,0.00000000,0.00909977,-0.00909977,0.62868621,10,0.00909977
4005022,0.10000000,0.00000000,0.10000000,0.72868621,10,0.10000000
4005151,0.00000000,0.01069977,-0.01069977,0.71798644,10,0.01069977
4007655,0.02000000,0.00000000,0.02000000,0.73798644,11,0.02000000
4009670,0.00000000,0.01069977,-0.01069977,0.72728667,11,0.01069977
4014170,0.00000000,0.01029977,-0.01029977,0.71698690,11,0.01029977
4018692,0.00000000,0.00989977,-0.00989977,0.70708713,11,0.00989977
4023197,0.00000000,0.00969977,-0.00969977,0.69738736,11,0.00969977
4027791,0.00000000,0.00949977,-0.00949977,0.68788759,11,0.00949977
4032381,0.00000000,0.00942059,-0.00942059,0.67846700,11,0.00942059
4036904,0.00000000,0.00922059,-0.00922059,0.66924641,11,0.00922059
4041480,0.00000000,0.00902059,-0.00902059,0.66022582,11,0.00902059
4046110,0.00000000,0.00882059,-0.00882059,0.65140523,11,0.00882059
4048803,0.02000000,0.00000000,0.02000000,0.67140523,12,0.02000000
4050752,0.00000000,0.00902059,-0.00902059,0.66238465,12,0.00902059
4055304,0.00000000,0.00882059,-0.00882059,0.65356406,12,0.00882059
4059979,0.00000000,0.00862059,-0.00862059,0.64494347,12,0.00862059
4064706,0.00000000,0.00842059,-0.00842059,0.63652288,12,0.00842059
4069004,0.02000000,0.00000000,0.02000000,0.65652288,13,0.02000000
4069299,0.00000000,0.00842059,-0.00842059,0.64810229,13,0.00842059
4073968,0.00000000,0.00822059,-0.00822059,0.63988170,13,0.00822059
4077464,0.00000000,0.02480562,-0.02480562,0.61507608,13,0.02480562
4078611,0.00000000,0.00782059,-0.00782059,0.60725549,13,0.00782059
4080960,0.00000000,0.14735377,-0.14735377,0.45990172,13,0.14735377
4080973,0.15000000,0.00000000,0.15000000,0.60990172,13,0.15000000
4080988,0.05000000,0.00000000,0.05000000,0.65990172,13,0.05000000
4083069,0.01000000,0.00000000,0.01000000,0.66990172,14,0.01000000
4083280,0.00000000,0.00982059,-0.00982059,0.66008113,14,0.00982059
4086004,0.01000000,0.00000000,0.01000000,0.67008113,15,0.01000000
4087916,0.00000000,0.00982059,-0.00982059,0.66026054,15,0.00982059
4092194,0.05000000,0.00000000,0.05000000,0.71026054,16,0.05000000
4092199,0.05000000,0.00000000,0.05000000,0.76026054,16,0.05000000
4092212,0.01000000,0.00000000,0.01000000,0.77026054,16,0.01000000
4092223,0.05000000,0.00000000,0.05000000,0.82026054,16,0.05000000
4092227,0.02000000,0.00000000,0.02000000,0.84026054,16,0.02000000
4092235,0.01000000,0.00000000,0.01000000,0.85026054,16,0.01000000
4092603,0.00000000,0.01062059,-0.01062059,0.83963995,16,0.01062059
4092686,0.00000000,0.39148016,-0.39148016,0.44815978,16,0.39148016
4095490,0.10000000,0.00000000,0.10000000,0.54815978,16,0.10000000
4097301,0.00000000,0.01022059,-0.01022059,0.53793919,16,0.01022059
4101835,0.00000000,0.00982059,-0.00982059,0.52811860,16,0.00982059
4105921,0.00000000,0.00962059,-0.00962059,0.51849801,16,0.00962059
4108071,0.00000000,0.16499422,-0.16499422,0.35350379,16,0.16499422
4109978,0.00000000,0.00862059,-0.00862059,0.34488320,16,0.00862059
4112815,0.05000000,0.00000000,0.05000000,0.39488320,17,0.05000000
4112833,0.02000000,0.00000000,0.02000000,0.41488320,17,0.02000000
4112855,0.10000000,0.00000000,0.10000000,0.51488320,17,0.10000000
4112871,0.05000000,0.00000000,0.05000000,0.56488320,17,0.05000000
4112884,0.50000000,0.00000000,0.50000000,1.06488320,17,0.50000000
4113960,0.00000000,0.00942059,-0.00942059,1.05546261,17,0.00942059
4113973,0.00000000,0.60493000,-0.60493000,0.45053261,17,0.60493000
4118019,0.00000000,0.00842059,-0.00842059,0.44211202,17,0.00842059
4122025,0.00000000,0.00822059,-0.00822059,0.43389144,17,0.00822059
4124469,0.05000000,0.00000000,0.05000000,0.48389144,17,0.05000000
4126051,0.00000000,0.00902059,-0.00902059,0.47487085,17,0.00902059
4130166,0.00000000,0.00882059,-0.00882059,0.46605026,17,0.00882059
4134254,0.00000000,0.00862059,-0.00862059,0.45742967,17,0.00862059
4138373,0.00000000,0.00842059,-0.00842059,0.44900908,17,0.00842059
4142404,0.00000000,0.00822059,-0.00822059,0.44078849,17,0.00822059
4144468,0.08000000,0.00000000,0.08000000,0.52078849,17,0.08000000
4146504,0.00000000,0.00949981,-0.00949981,0.51128867,17,0.00949981
4150635,0.00000000,0.00929981,-0.00929981,0.50198886,17,0.00929981
4154765,0.00000000,0.00909981,-0.00909981,0.49288905,17,0.00909981
4158908,0.00000000,0.00889981,-0.00889981,0.48398923,17,0.00889981
4163026,0.00000000,0.00869981,-0.00869981,0.47528942,17,0.00869981
4167247,0.00000000,0.00849981,-0.00849981,0.46678960,17,0.00849981
4171414,0.00000000,0.00829981,-0.00829981,0.45848979,17,0.00829981
4175562,0.01000000,0.00000000,0.01000000,0.46848979,18,0.01000000
4175609,0.00000000,0.00829981,-0.00829981,0.46018997,18,0.00829981
4178930,0.00000000,0.07458990,-0.07458990,0.38560007,18,0.07458990
4178934,0.05000000,0.00000000,0.05000000,0.43560007,18,0.05000000
4179791,0.00000000,0.00889981,-0.00889981,0.42670026,18,0.00889981
4184036,0.00000000,0.00869981,-0.00869981,0.41800045,18,0.00869981
4188284,0.00000000,0.00849981,-0.00849981,0.40950063,18,0.00849981
4192470,0.00000000,0.00829981,-0.00829981,0.40120082,18,0.00829981
4195310,0.01000000,0.00000000,0.01000000,0.41120082,19,0.01000000
4195346,0.08000000,0.00000000,0.08000000,0.49120082,19,0.08000000
4196693,0.00000000,0.00909981,-0.00909981,0.48210100,19,0.00909981
4200816,0.00000000,0.00889981,-0.00889981,0.47320119,19,0.00889981
4204350,0.00000000,0.00869981,-0.00869981,0.46450138,19,0.00869981
4207841,0.00000000,0.00849981,-0.00849981,0.45600156,19,0.00849981
4210490,0.00000000,0.01300964,-0.01300964,0.44299192,19,0.01300964
4210666,0.00000000,0.03916884,-0.03916884,0.40382308,19,0.03916884
4210692,0.05000000,0.00000000,0.05000000,0.45382308,19,0.05000000
4210971,0.01000000,0.00000000,0.01000000,0.46382308,20,0.01000000
4211352,0.00000000,0.00829981,-0.00829981,0.45552327,20,0.00829981
4214843,0.00000000,0.00809981,-0.00809981,0.44742345,20,0.00809981
4217759,0.10000000,0.00000000,0.10000000,0.54742345,20,0.10000000
