block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1150546,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
1150891,1.00000000,0.00000000,1.00000000,2.00000000,2,1.00000000
1150919,2.50000000,3.00000000,-0.50000000,1.50000000,3,3.00000000
1150952,3.00000000,3.00000000,0.00000000,1.50000000,3,3.00000000
1151615,1.00000000,0.00000000,1.00000000,2.50000000,4,1.00000000
1153175,1.00000000,0.00000000,1.00000000,3.50000000,5,1.00000000
1153457,2.00000000,0.00000000,2.00000000,5.50000000,5,2.00000000
1153897,1.00000000,0.00000000,1.00000000,6.50000000,6,1.00000000
1154029,50.00000000,28.50000000,21.50000000,28.00000000,7,50.00000000
1154050,7.50000000,0.00000000,7.50000000,35.50000000,7,7.50000000
1154192,1.00000000,0.00000000,1.00000000,36.50000000,8,1.00000000
1154214,5.00000000,0.00000000,5.00000000,41.50000000,9,5.00000000
1154262,9.00000000,0.00000000,9.00000000,50.50000000,9,9.00000000
1154449,1.00000000,0.00000000,1.00000000,51.50000000,10,1.00000000
1154455,20.00000000,0.00000000,20.00000000,71.50000000,11,20.00000000
1154491,1.50000000,0.00000000,1.50000000,73.00000000,12,1.50000000
1154496,9.00000000,0.00000000,9.00000000,82.00000000,13,9.00000000
1154527,9.00000000,0.00000000,9.00000000,91.00000000,13,9.00000000
1154585,15.00000000,0.00000000,15.00000000,106.00000000,14,15.00000000
1154636,5.00000000,0.00000000,5.00000000,111.00000000,14,5.00000000
1154881,20.00000000,0.00000000,20.00000000,131.00000000,15,20.00000000
1154911,20.00000000,0.00000000,20.00000000,151.00000000,15,20.00000000
1154917,20.00000000,150.00000000,-130.00000000,21.00000000,15,150.00000000
1154927,20.00000000,0.00000000,20.00000000,41.00000000,15,20.00000000
1154941,1.10000000,0.00000000,1.10000000,42.10000000,16,1.10000000
1155078,20.00000000,35.50000000,-15.50000000,26.60000000,16,22.50000000
1155085,22.50000000,20.00000000,2.50000000,29.10000000,16,22.50000000
1155134,40.00000000,0.00000000,40.00000000,69.10000000,16,40.00000000
1155197,1.00000000,0.00000000,1.00000000,70.10000000,17,1.00000000
1155219,18.00000000,43.00000000,-25.00000000,45.10000000,17,40.00000000
1155240,3.98526060,0.00000000,3.98526060,49.08526060,17,3.98526060
1155249,100.06578579,76.00000000,24.06578579,73.15104639,17,100.06578579
1155288,2.00000000,0.00000000,2.00000000,75.15104639,18,2.00000000
1155295,20.00000000,40.00000000,-20.00000000,55.15104639,19,40.00000000
1155307,40.00000000,40.00000000,0.00000000,55.15104639,19,40.00000000
1155324,29.99845054,0.00000000,29.99845054,85.14949693,19,29.99845054
1155331,50.00000000,82.20000000,-32.20000000,52.94949693,19,50.00000000
1155351,100.19758311,73.75000000,26.44758311,79.39708003,19,100.19758311
1155362,33.00000000,0.00000000,33.00000000,112.39708003,19,33.00000000
1155457,1.40100000,0.00000000,1.40100000,113.79808003,20,1.40100000
1155460,30.00000000,60.00000000,-30.00000000,83.79808003,20,60.00000000
1155483,1.48000000,0.00000000,1.48000000,85.27808003,20,1.48000000
1155587,1.00000000,0.00000000,1.00000000,86.27808003,21,1.00000000
