block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1287412,9.00000000,1.00000000,8.00000000,8.00000000,2,9.00000000
1287413,9.00000000,11.00000000,-2.00000000,6.00000000,2,10.00000000
1287415,9.00000000,11.00000000,-2.00000000,4.00000000,3,10.00000000
1287418,9.00000000,11.00000000,-2.00000000,2.00000000,3,10.00000000
1287421,9.00000000,11.00000000,-2.00000000,0.00000000,3,10.00000000
1287427,9.00000000,1.00000000,8.00000000,8.00000000,3,9.00000000
1287432,9.00000000,11.00000000,-2.00000000,6.00000000,3,10.00000000
1287434,9.00000000,11.00000000,-2.00000000,4.00000000,4,10.00000000
1287441,9.00000000,11.00000000,-2.00000000,2.00000000,4,10.00000000
1287442,9.00000000,11.00000000,-2.00000000,0.00000000,4,10.00000000
1287445,9.00000000,1.00000000,8.00000000,8.00000000,4,9.00000000
1287450,18.00000000,22.00000000,-4.00000000,4.00000000,4,10.00000000
1287455,9.00000000,11.00000000,-2.00000000,2.00000000,4,10.00000000
1287457,9.00000000,11.00000000,-2.00000000,0.00000000,4,10.00000000
