block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4069929,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
4070005,0.20000000,0.00000000,0.20000000,0.30000000,2,0.20000000
4070009,0.20000000,0.00000000,0.20000000,0.50000000,2,0.20000000
4070399,0.10000000,0.00000000,0.10000000,0.60000000,3,0.10000000
4077652,0.05000000,0.00000000,0.05000000,0.65000000,4,0.05000000
4077917,0.10000000,0.00000000,0.10000000,0.75000000,5,0.10000000
4078019,0.35500000,0.00000000,0.35500000,1.10500000,6,0.35500000
4081642,0.13878587,0.00000000,0.13878587,1.24378587,7,0.13878587
4081749,2.00000000,0.00000000,2.00000000,3.24378587,8,2.00000000
4082436,0.13000000,0.00000000,0.13000000,3.37378587,9,0.13000000
4085660,1.00000000,0.00000000,1.00000000,4.37378587,10,1.00000000
4085929,0.80000000,0.00000000,0.80000000,5.17378587,10,0.80000000
4099492,0.99900400,0.00000000,0.99900400,6.17278987,11,0.99900400
4112192,0.10000000,0.00000000,0.10000000,6.27278987,12,0.10000000
4112204,0.38100000,0.00000000,0.38100000,6.65378987,12,0.38100000
4112214,0.30000000,0.00000000,0.30000000,6.95378987,12,0.30000000
4136658,0.03500000,0.00000000,0.03500000,6.98878987,13,0.03500000
4203262,0.50000000,0.00000000,0.50000000,7.48878987,14,0.50000000
4203410,0.42000000,0.00000000,0.42000000,7.90878987,15,0.42000000
4259185,0.01000000,0.00000000,0.01000000,7.91878987,15,0.01000000
4259195,0.00000000,0.11000000,-0.11000000,7.80878987,15,0.11000000
4259203,0.00000000,0.40500000,-0.40500000,7.40378987,15,0.35500000
4259424,0.00000000,7.02278987,-7.02278987,0.38100000,15,7.02278987
