block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4211052,0.01000000,0.00800000,0.00200000,0.00200000,2,0.01000000
4211086,0.02000000,0.01600000,0.00400000,0.00600000,3,0.02000000
4211118,0.01000000,0.01000000,0.00000000,0.00600000,3,0.01000000
4211123,0.01000000,0.01000000,0.00000000,0.00600000,3,0.01000000
4211306,0.02000000,0.01600000,0.00400000,0.01000000,3,0.02000000
4211750,0.02000000,0.01600000,0.00400000,0.01400000,4,0.02000000
4211774,0.01000000,0.01000000,0.00000000,0.01400000,4,0.01000000
4212073,0.01000000,0.01000000,0.00000000,0.01400000,4,0.01000000
4213119,0.02000000,0.01600000,0.00400000,0.01800000,5,0.02000000
4213120,0.04000000,0.00000000,0.04000000,0.05800000,5,0.02000000
4213175,0.01000000,0.01000000,0.00000000,0.05800000,5,0.01000000
4213371,0.01000000,0.01000000,0.00000000,0.05800000,5,0.01000000
4213384,0.01000000,0.01000000,0.00000000,0.05800000,5,0.01000000
4213441,0.02000000,0.01600000,0.00400000,0.06200000,5,0.02000000
4213630,0.03000000,0.01600000,0.01400000,0.07600000,5,0.02000000
4213645,0.04000000,0.03200000,0.00800000,0.08400000,5,0.04000000
4213669,0.01000000,0.01000000,0.00000000,0.08400000,5,0.01000000
4213672,0.01000000,0.01000000,0.00000000,0.08400000,5,0.01000000
4213691,0.01000000,0.01000000,0.00000000,0.08400000,5,0.01000000
4213695,0.02000000,0.01600000,0.00400000,0.08800000,5,0.02000000
4213703,0.01000000,0.01000000,0.00000000,0.08800000,5,0.01000000
4213708,0.02000000,0.01600000,0.00400000,0.09200000,5,0.02000000
4213744,0.02000000,0.01600000,0.00400000,0.09600000,5,0.02000000
4213773,0.01000000,0.01000000,0.00000000,0.09600000,5,0.01000000
4218046,0.02000000,0.01600000,0.00400000,0.10000000,5,0.02000000
