block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4112945,0.01000000,0.00000000,0.01000000,0.01000000,1,0.01000000
4112953,0.01000000,0.00000000,0.01000000,0.02000000,1,0.01000000
4112960,0.01000000,0.00000000,0.01000000,0.03000000,1,0.01000000
4112962,0.01000000,0.00000000,0.01000000,0.04000000,1,0.01000000
4113095,0.01000000,0.00000000,0.01000000,0.05000000,1,0.01000000
4113103,0.01000000,0.00000000,0.01000000,0.06000000,1,0.01000000
4113501,0.01000000,0.00000000,0.01000000,0.07000000,1,0.01000000
4113505,0.01000000,0.00000000,0.01000000,0.08000000,1,0.01000000
4113515,0.01000000,0.00000000,0.01000000,0.09000000,1,0.01000000
4113522,0.01000000,0.00000000,0.01000000,0.10000000,1,0.01000000
4113545,0.01000000,0.00000000,0.01000000,0.11000000,1,0.01000000
4113549,0.01000000,0.00000000,0.01000000,0.12000000,1,0.01000000
4114094,0.01000000,0.00000000,0.01000000,0.13000000,1,0.01000000
4114215,0.00100000,0.00000000,0.00100000,0.13100000,2,0.00100000
4116856,0.00100000,0.00000000,0.00100000,0.13200000,2,0.00100000
4117737,0.00100000,0.00000000,0.00100000,0.13300000,2,0.00100000
4118904,0.00000000,0.13000000,-0.13000000,0.00300000,3,0.13000000
4125704,0.00001000,0.00000000,0.00001000,0.00301000,3,0.00001000
4125963,0.00001000,0.00000000,0.00001000,0.00302000,3,0.00001000
4125968,0.00010000,0.00000000,0.00010000,0.00312000,3,0.00010000
4129665,0.00010000,0.00000000,0.00010000,0.00322000,3,0.00010000
4130668,0.00001000,0.00000000,0.00001000,0.00323000,3,0.00001000
4131528,0.01000000,0.00000000,0.01000000,0.01323000,3,0.01000000
4133722,0.01000000,0.00000000,0.01000000,0.02323000,3,0.01000000
4134389,0.01000000,0.00000000,0.01000000,0.03323000,4,0.01000000
4134419,0.01000000,0.00000000,0.01000000,0.04323000,4,0.01000000
4134444,0.02000000,0.00000000,0.02000000,0.06323000,4,0.02000000
4134448,0.01000000,0.00000000,0.01000000,0.07323000,4,0.01000000
4156328,0.02000000,0.00000000,0.02000000,0.09323000,5,0.02000000
4157543,0.01000000,0.00000000,0.01000000,0.10323000,6,0.01000000
4158432,0.00010000,0.00000000,0.00010000,0.10333000,6,0.00010000
4159051,0.00010000,0.00000000,0.00010000,0.10343000,6,0.00010000
4159084,0.00010000,0.00000000,0.00010000,0.10353000,6,0.00010000
4159085,0.00001000,0.00000000,0.00001000,0.10354000,6,0.00001000
4159839,0.00010000,0.00000000,0.00010000,0.10364000,6,0.00010000
4159979,0.00010000,0.00000000,0.00010000,0.10374000,6,0.00010000
4160858,0.03000000,0.00000000,0.03000000,0.13374000,6,0.03000000
4160866,0.04000000,0.00000000,0.04000000,0.17374000,6,0.04000000
4160872,0.02000000,0.00000000,0.02000000,0.19374000,6,0.02000000
4160902,0.01000000,0.00000000,0.01000000,0.20374000,6,0.01000000
4160923,0.04000000,0.00000000,0.04000000,0.24374000,6,0.04000000
4160931,0.03200000,0.00000000,0.03200000,0.27574000,6,0.03200000
4161302,0.00500000,0.00000000,0.00500000,0.28074000,7,0.00500000
4161694,0.00000000,0.01000000,-0.01000000,0.27074000,7,0.01000000
4161733,0.00000000,0.01000000,-0.01000000,0.26074000,8,0.01000000
4161784,0.00000000,0.02000000,-0.02000000,0.24074000,8,0.02000000
4161873,0.00000000,0.01000000,-0.01000000,0.23074000,9,0.01000000
4163293,0.04300000,0.00000000,0.04300000,0.27374000,9,0.04300000
4163750,0.02000000,0.00000000,0.02000000,0.29374000,10,0.02000000
4165141,0.00000000,0.02999995,-0.02999995,0.26374005,19,0.00576923
4165150,0.00000000,0.03999997,-0.03999997,0.22374008,22,0.01333333
4165211,0.00000000,0.01999998,-0.01999998,0.20374010,27,0.00461538
4165217,0.20000000,0.00000000,0.20000000,0.40374010,27,0.20000000
4165218,0.00000000,0.00999995,-0.00999995,0.39374015,33,0.00153846
4165226,0.00000000,0.04000000,-0.04000000,0.35374015,43,0.00750000
4165229,0.00000000,0.03199996,-0.03199996,0.32174019,44,0.00984615
4165230,0.00000000,0.00499998,-0.00499998,0.31674021,45,0.00285714
4166016,0.00000000,0.30000000,-0.30000000,0.01674021,46,0.30000000
4167373,0.00000000,0.01674021,-0.01674021,0.00000000,46,0.01674021
4174296,0.00100000,0.00000000,0.00100000,0.00100000,46,0.00100000
6724109,0.00000000,0.00100000,-0.00100000,0.00000000,47,0.00100000
