block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1263555,2.50000000,0.50000000,2.00000000,2.00000000,1,2.50000000
1264113,0.01000000,0.00100000,0.00900000,2.00900000,2,0.01000000
1264515,0.00100000,0.00100000,0.00000000,2.00900000,3,0.00100000
1264546,0.01000000,0.00100000,0.00900000,2.01800000,3,0.01000000
1264921,0.05000000,0.00500000,0.04500000,2.06300000,3,0.05000000
1264928,0.02000000,0.00200000,0.01800000,2.08100000,3,0.02000000
1264936,0.02000000,0.03800000,-0.01800000,2.06300000,3,0.03600000
1264941,0.08507766,0.00000000,0.08507766,2.14807766,3,0.08507766
1264959,0.08000000,0.00800000,0.07200000,2.22007766,3,0.08000000
1264968,0.00354356,0.00000000,0.00354356,2.22362122,3,0.00354356
1264974,0.00298132,0.00000000,0.00298132,2.22660254,3,0.00298132
1264980,0.00207583,0.00000000,0.00207583,2.22867837,3,0.00207583
1264989,0.00117033,0.00000000,0.00117033,2.22984870,3,0.00117033
1276471,0.00000000,2.13500000,-2.13500000,0.09484870,3,2.13500000
