block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1299464,2.00000000,0.02000000,1.98000000,1.98000000,1,2.00000000
1299883,2.00000000,0.02000000,1.98000000,3.96000000,2,2.00000000
1300159,2.00000000,0.02000000,1.98000000,5.94000000,3,2.00000000
1305147,0.60000000,0.59406000,0.00594000,5.94594000,3,0.60000000
1305173,2.00000000,0.02000000,1.98000000,7.92594000,4,2.00000000
1305912,2.00000000,0.02000000,1.98000000,9.90594000,5,2.00000000
1307118,0.01000000,0.00000000,0.01000000,9.91594000,6,0.00500000
1308432,0.10000000,0.09901000,0.00099000,9.91693000,6,0.10000000
1311649,0.10001000,0.00000000,0.10001000,10.01694000,7,0.10001000
1311736,0.01000000,0.00990100,0.00009900,10.01703900,8,0.01000000
1316732,0.01000000,0.00000000,0.01000000,10.02703900,9,0.00100000
1317038,0.00100000,0.00000000,0.00100000,10.02803900,10,0.00100000
1318692,0.00001000,9.90000000,-9.89999000,0.12804900,10,9.90000000
4985625,0.00500000,0.00000000,0.00500000,0.13304900,10,0.00500000
4985644,0.00500000,0.00000000,0.00500000,0.13804900,10,0.00500000
4985651,0.00500000,0.00000000,0.00500000,0.14304900,10,0.00500000
4985663,0.00500000,0.00000000,0.00500000,0.14804900,10,0.00500000
4985676,0.00500000,0.00000000,0.00500000,0.15304900,10,0.00500000
4985681,0.00500000,0.00000000,0.00500000,0.15804900,10,0.00500000
9717138,0.00500000,0.00000000,0.00500000,0.16304900,10,0.00500000
9717185,0.00500000,0.00000000,0.00500000,0.16804900,10,0.00500000
9717195,0.00500000,0.00000000,0.00500000,0.17304900,10,0.00500000
9717198,0.00500000,0.00000000,0.00500000,0.17804900,10,0.00500000
9717212,0.00500000,0.00000000,0.00500000,0.18304900,10,0.00500000
