block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1279478,3.00000000,2.20000000,0.80000000,0.80000000,4,2.00000000
1279479,1.00000000,0.10000000,0.90000000,1.70000000,4,1.00000000
1279480,2.00000000,2.20000000,-0.20000000,1.50000000,5,2.00000000
1279488,1.00000000,2.10000000,-1.10000000,0.40000000,5,2.00000000
1279489,1.00000000,0.10000000,0.90000000,1.30000000,5,1.00000000
1279490,1.00000000,2.10000000,-1.10000000,0.20000000,5,2.00000000
1279497,2.00000000,0.20000000,1.80000000,2.00000000,5,1.00000000
1279615,1.00000000,2.10000000,-1.10000000,0.90000000,5,2.00000000
1279619,1.00000000,0.10000000,0.90000000,1.80000000,6,1.00000000
1279733,1.00000000,2.10000000,-1.10000000,0.70000000,7,2.00000000
1279854,1.00000000,2.10000000,-1.10000000,-0.40000000,7,2.00000000
1279863,1.00000000,0.10000000,0.90000000,0.50000000,8,1.00000000
1279946,1.00000000,2.10000000,-1.10000000,-0.60000000,8,2.00000000
1280016,1.00000000,0.10000000,0.90000000,0.30000000,8,1.00000000
1280024,1.00000000,2.10000000,-1.10000000,-0.80000000,8,2.00000000
1280032,1.00000000,0.10000000,0.90000000,0.10000000,8,1.00000000
1280080,1.00000000,2.10000000,-1.10000000,-1.00000000,8,2.00000000
