block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3843180,27.00000000,0.00000000,27.00000000,27.00000000,1,27.00000000
3843199,30.00000000,0.00000000,30.00000000,57.00000000,2,30.00000000
3843765,32.00000000,0.00000000,32.00000000,89.00000000,3,32.00000000
3845520,27.20000000,0.00000000,27.20000000,116.20000000,4,27.20000000
3845699,26.99000000,0.00000000,26.99000000,143.19000000,5,26.99000000
3845702,26.90000000,0.00000000,26.90000000,170.09000000,5,26.90000000
3845705,26.95000000,0.00000000,26.95000000,197.04000000,5,26.95000000
3845722,26.95000000,0.00000000,26.95000000,223.99000000,5,26.95000000
3845728,26.97000000,0.00000000,26.97000000,250.96000000,5,26.97000000
3847062,27.00000000,0.00000000,27.00000000,277.96000000,6,27.00000000
3848829,0.50000000,0.00000000,0.50000000,278.46000000,7,0.50000000
3848841,0.50000000,0.00000000,0.50000000,278.96000000,7,0.50000000
3854466,28.78626768,0.00000000,28.78626768,307.74626768,8,28.78626768
3854804,33.45602823,0.00000000,33.45602823,341.20229591,8,33.45602823
3854981,26.79580001,0.00000000,26.79580001,367.99809592,9,26.79580001
3860249,26.74600000,0.00000000,26.74600000,394.74409592,10,26.74600000
3860385,26.74600000,0.00000000,26.74600000,421.49009592,10,26.74600000
3879551,30.00000000,0.00000000,30.00000000,451.49009592,11,30.00000000
3883705,36.76175825,0.00000000,36.76175825,488.25185416,11,36.76175825
3899364,26.74000000,0.00000000,26.74000000,514.99185416,12,26.74000000
3906305,29.00000000,0.00000000,29.00000000,543.99185416,13,29.00000000
3907884,30.00000000,0.00000000,30.00000000,573.99185416,14,30.00000000
3908134,26.74000000,0.00000000,26.74000000,600.73185416,15,26.74000000
3908951,27.00000000,0.00000000,27.00000000,627.73185416,16,27.00000000
3909013,27.00000000,0.00000000,27.00000000,654.73185416,17,27.00000000
3909055,27.20000000,0.00000000,27.20000000,681.93185416,18,27.20000000
3909473,27.00000000,0.00000000,27.00000000,708.93185416,19,27.00000000
3909480,27.00000000,0.00000000,27.00000000,735.93185416,20,27.00000000
3909611,40.40000000,0.00000000,40.40000000,776.33185416,21,40.40000000
3909663,27.78000000,0.00000000,27.78000000,804.11185416,22,27.78000000
3910954,27.78000000,0.00000000,27.78000000,831.89185416,22,27.78000000
3910959,27.00000000,0.00000000,27.00000000,858.89185416,22,27.00000000
3910975,26.74000000,0.00000000,26.74000000,885.63185416,22,26.74000000
3911000,26.76000000,0.00000000,26.76000000,912.39185416,22,26.76000000
3911086,27.00000000,0.00000000,27.00000000,939.39185416,22,27.00000000
3911105,27.00000000,0.00000000,27.00000000,966.39185416,22,27.00000000
3911262,27.00000000,0.00000000,27.00000000,993.39185416,23,27.00000000
3911339,27.00000000,0.00000000,27.00000000,1020.39185416,24,27.00000000
3911488,27.00000000,0.00000000,27.00000000,1047.39185416,25,27.00000000
3911595,27.00000000,0.00000000,27.00000000,1074.39185416,26,27.00000000
3911841,27.74000000,0.00000000,27.74000000,1102.13185416,27,27.74000000
3912105,27.00000000,0.00000000,27.00000000,1129.13185416,28,27.00000000
3912127,34.95000000,0.00000000,34.95000000,1164.08185416,29,34.95000000
3912460,27.00000000,0.00000000,27.00000000,1191.08185416,30,27.00000000
3912531,27.00000000,0.00000000,27.00000000,1218.08185416,31,27.00000000
3912598,26.74000000,0.00000000,26.74000000,1244.82185416,32,26.74000000
3912621,30.00000000,0.00000000,30.00000000,1274.82185416,33,30.00000000
3912689,30.00000000,0.00000000,30.00000000,1304.82185416,34,30.00000000
3912697,27.50000000,0.00000000,27.50000000,1332.32185416,35,27.50000000
