block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1276265,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
1276652,0.10000000,0.00000000,0.10000000,1.10000000,2,0.10000000
1276659,1.00000000,1.10000000,-0.10000000,1.00000000,2,1.10000000
1276718,1.50000000,1.10000000,0.40000000,1.40000000,2,1.50000000
1276732,10.00000000,1.65000000,8.35000000,9.75000000,3,10.00000000
1276737,10.00000000,11.00000000,-1.00000000,8.75000000,4,11.00000000
1276754,10.00000000,11.00000000,-1.00000000,7.75000000,5,11.00000000
1276762,11.00000000,11.00000000,0.00000000,7.75000000,6,11.00000000
1276765,10.00000000,12.10000000,-2.10000000,5.65000000,7,11.00000000
1276772,10.00000000,11.00000000,-1.00000000,4.65000000,7,11.00000000
1276775,10.00000000,11.00000000,-1.00000000,3.65000000,7,11.00000000
1276776,10.00000000,11.00000000,-1.00000000,2.65000000,7,11.00000000
1276782,9.11400000,11.00000000,-1.88600000,0.76400000,7,11.00000000
1276801,1.00000000,0.00000000,1.00000000,1.76400000,7,1.00000000
1276816,0.20000000,0.00000000,0.20000000,1.96400000,7,0.20000000
1276853,2.00000000,0.00000000,2.00000000,3.96400000,8,2.00000000
1276887,2.00000000,0.00000000,2.00000000,5.96400000,9,2.00000000
1276952,5.00000000,10.02540000,-5.02540000,0.93860000,9,10.02540000
1277042,10.00000000,5.50000000,4.50000000,5.43860000,9,10.00000000
1277043,20.00000000,16.50000000,3.50000000,8.93860000,9,11.00000000
1277055,0.50000000,0.00000000,0.50000000,9.43860000,10,0.50000000
1277079,1.50000000,0.00000000,1.50000000,10.93860000,11,1.50000000
1277085,1.00000000,11.00000000,-10.00000000,0.93860000,11,11.00000000
1277153,1.00000000,0.00000000,1.00000000,1.93860000,11,1.00000000
1277227,10.00000000,11.00000000,-1.00000000,0.93860000,11,11.00000000
1277267,0.20000000,0.00000000,0.20000000,1.13860000,11,0.20000000
1277320,1.00000000,0.00000000,1.00000000,2.13860000,11,1.00000000
1277381,1.50000000,1.65000000,-0.15000000,1.98860000,11,1.65000000
1277414,0.56454567,0.00000000,0.56454567,2.55314567,11,0.56454567
1277425,1.20000000,1.10000000,0.10000000,2.65314567,11,1.20000000
1277636,5.00000000,1.10000000,3.90000000,6.55314567,11,5.00000000
