block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1389170,1.00000000,0.05000000,0.95000000,0.95000000,1,1.00000000
1389172,1.00000000,1.30000000,-0.30000000,0.65000000,1,1.25000000
1389247,1.00000000,1.30000000,-0.30000000,0.35000000,2,1.25000000
1389257,1.00000000,1.30000000,-0.30000000,0.05000000,2,1.25000000
1389270,1.00000000,0.05000000,0.95000000,1.00000000,2,1.00000000
1389280,1.00000000,1.30000000,-0.30000000,0.70000000,3,1.25000000
1389285,1.00000000,1.30000000,-0.30000000,0.40000000,3,1.25000000
1389292,1.00000000,1.30000000,-0.30000000,0.10000000,3,1.25000000
1389330,1.00000000,0.00000000,1.00000000,1.10000000,3,1.00000000
1389334,1.00000000,0.05000000,0.95000000,2.05000000,3,1.00000000
1389355,1.00000000,1.30000000,-0.30000000,1.75000000,4,1.25000000
1389376,1.00000000,1.30000000,-0.30000000,1.45000000,4,1.25000000
1389387,1.00000000,1.30000000,-0.30000000,1.15000000,5,1.25000000
1389468,1.00000000,0.05000000,0.95000000,2.10000000,5,1.00000000
1711461,1.00000000,0.00000000,1.00000000,3.10000000,6,1.00000000
1711490,1.00000000,0.00000000,1.00000000,4.10000000,6,1.00000000
1711591,1.00000000,0.00000000,1.00000000,5.10000000,6,1.00000000
1712063,1.00000000,1.30000000,-0.30000000,4.80000000,7,1.25000000
1712356,1.00000000,1.30000000,-0.30000000,4.50000000,7,1.25000000
1712372,1.00000000,1.30000000,-0.30000000,4.20000000,7,1.25000000
