block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1280453,6.00000000,0.10000000,5.90000000,5.90000000,3,5.00000000
1280454,5.50000000,11.17500000,-5.67500000,0.22500000,5,6.25000000
1280456,9.00000000,4.65000000,4.35000000,4.57500000,6,9.00000000
1280457,2.00000000,0.20000000,1.80000000,6.37500000,7,2.00000000
1280459,1.00000000,0.10000000,0.90000000,7.27500000,7,1.00000000
1280462,16.00000000,16.60000000,-0.60000000,6.67500000,7,11.25000000
1280465,3.00000000,0.30000000,2.70000000,9.37500000,7,3.00000000
1280478,9.00000000,13.40000000,-4.40000000,4.97500000,7,12.50000000
1280483,6.00000000,8.10000000,-2.10000000,2.87500000,7,7.50000000
1280488,1.00000000,3.85000000,-2.85000000,0.02500000,8,3.75000000
1280489,5.00000000,0.50000000,4.50000000,4.52500000,8,5.00000000
1280491,2.10000000,0.21000000,1.89000000,6.41500000,10,2.00000000
1280492,0.80000000,0.08000000,0.72000000,7.13500000,11,0.80000000
1280495,0.40000000,0.04000000,0.36000000,7.49500000,12,0.40000000
1280500,0.20000000,0.02000000,0.18000000,7.67500000,13,0.20000000
1280502,0.10559237,0.00000000,0.10559237,7.78059237,14,0.10559237
1280506,1.15000000,0.11500000,1.03500000,8.81559237,15,1.00000000
1280515,0.10000000,0.01000000,0.09000000,8.90559237,15,0.10000000
1280516,0.50000000,0.05000000,0.45000000,9.35559237,16,0.50000000
1280551,1.00000000,0.10000000,0.90000000,10.25559237,16,1.00000000
1280566,1.00000000,0.10000000,0.90000000,11.15559237,16,1.00000000
1280569,1.00000000,11.35000000,-10.35000000,0.80559237,16,11.25000000
1280570,1.00000000,0.10000000,0.90000000,1.70559237,17,1.00000000
1280601,1.00000000,0.10000000,0.90000000,2.60559237,18,1.00000000
1280669,6.00000000,8.10000000,-2.10000000,0.50559237,18,7.50000000
1286164,0.20000000,0.02000000,0.18000000,0.68559237,19,0.20000000
