block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4238894,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
4238904,1.00000000,0.00000000,1.00000000,2.00000000,1,1.00000000
4238932,1.00000000,1.00000000,0.00000000,2.00000000,3,1.00000000
4239014,0.00000000,1.00000000,-1.00000000,1.00000000,3,1.00000000
4245302,50.00000000,50.00000000,0.00000000,1.00000000,4,50.00000000
4245321,50.00000000,0.00000000,50.00000000,51.00000000,4,50.00000000
4245342,0.00000000,50.00000000,-50.00000000,1.00000000,4,50.00000000
4245359,260.00000000,260.00000000,0.00000000,1.00000000,4,260.00000000
4245375,200.00000000,0.00000000,200.00000000,201.00000000,4,200.00000000
4245416,40.00000000,40.00000000,0.00000000,201.00000000,4,40.00000000
4245428,0.00000000,201.00000000,-201.00000000,0.00000000,4,201.00000000
4245457,5.00000000,0.00000000,5.00000000,5.00000000,4,5.00000000
4266684,0.99535900,0.99535900,0.00000000,5.00000000,5,0.99535900
4277698,320.00000000,320.00000000,0.00000000,5.00000000,6,320.00000000
4277719,133.00000000,0.00000000,133.00000000,138.00000000,6,133.00000000
4277729,105.00000000,0.00000000,105.00000000,243.00000000,6,105.00000000
4277736,84.00000000,0.00000000,84.00000000,327.00000000,6,84.00000000
4285096,3.00000000,3.00000000,0.00000000,327.00000000,7,3.00000000
4285529,0.25000000,0.25000000,0.00000000,327.00000000,8,0.25000000
4302709,24.00000000,24.00000000,0.00000000,327.00000000,9,24.00000000
4311984,0.00000000,327.00000000,-327.00000000,0.00000000,9,327.00000000
4312029,41.00000000,0.00000000,41.00000000,41.00000000,10,41.00000000
4312051,33.99700000,33.99700000,0.00000000,41.00000000,10,33.99700000
4312055,46.90000000,46.90000000,0.00000000,41.00000000,10,46.90000000
4312080,40.09000000,40.09000000,0.00000000,41.00000000,10,40.09000000
4312097,55.00000000,0.00000000,55.00000000,96.00000000,10,55.00000000
4321217,1.10000000,1.10000000,0.00000000,96.00000000,11,1.10000000
4323966,0.10000000,0.10000000,0.00000000,96.00000000,12,0.10000000
4326315,0.16000000,0.16000000,0.00000000,96.00000000,13,0.16000000
4336996,19.00000000,0.00000000,19.00000000,115.00000000,13,19.00000000
4337001,20.90000000,0.00000000,20.90000000,135.90000000,13,20.90000000
4340133,0.40000000,0.40000000,0.00000000,135.90000000,14,0.40000000
4352127,122.00000000,0.00000000,122.00000000,257.90000000,14,122.00000000
4355075,0.05000000,0.05000000,0.00000000,257.90000000,15,0.05000000
4366518,1.00000000,1.00000000,0.00000000,257.90000000,16,1.00000000
4366532,2.00000000,2.00000000,0.00000000,257.90000000,16,2.00000000
4381155,0.99933880,0.99933880,0.00000000,257.90000000,17,0.99933880
4393687,45.00000000,0.00000000,45.00000000,302.90000000,17,45.00000000
4408181,0.01000000,0.01000000,0.00000000,302.90000000,18,0.01000000
4437193,99.99580000,99.99580000,0.00000000,302.90000000,19,99.99580000
4437213,120.00000000,0.00000000,120.00000000,422.90000000,19,120.00000000
4455237,0.14255163,0.14255163,0.00000000,422.90000000,20,0.14255163
4458288,1.00000000,1.00000000,0.00000000,422.90000000,21,1.00000000
4475039,0.03200000,0.00000000,0.03200000,422.93200000,22,0.03200000
4490386,0.00000000,0.40000000,-0.40000000,422.53200000,22,0.40000000
4521253,41.00000000,0.00000000,41.00000000,463.53200000,22,41.00000000
4548463,99.00000000,0.00000000,99.00000000,562.53200000,22,99.00000000
4551076,0.02500000,0.02500000,0.00000000,562.53200000,22,0.02500000
4586447,0.00000000,562.50000000,-562.50000000,0.03200000,22,562.50000000
4586467,10.00000000,0.00000000,10.00000000,10.03200000,22,10.00000000
4612233,0.00200000,0.00200000,0.00000000,10.03200000,23,0.00200000
4612336,0.06000000,0.06000000,0.00000000,10.03200000,23,0.06000000
4643014,1.50000000,1.50000000,0.00000000,10.03200000,24,1.50000000
4802479,0.10000000,0.10000000,0.00000000,10.03200000,25,0.10000000
4810609,0.01000000,0.01000000,0.00000000,10.03200000,26,0.01000000
4810715,0.25000000,0.25000000,0.00000000,10.03200000,26,0.25000000
4810753,0.05000000,0.05000000,0.00000000,10.03200000,26,0.05000000
4810892,0.00000000,0.28000000,-0.28000000,9.75200000,26,0.28000000
5008905,0.00000000,0.05680000,-0.05680000,9.69520000,26,0.05680000
5199014,0.00000000,9.66320000,-9.66320000,0.03200000,26,9.66320000
5538655,0.29366020,0.29366020,0.00000000,0.03200000,27,0.29366020
5549722,1.00000000,1.00000000,0.00000000,0.03200000,28,1.00000000
5579322,1.00000000,1.00000000,0.00000000,0.03200000,29,1.00000000
