block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4058801,2.60000000,0.00000000,2.60000000,2.60000000,1,2.60000000
4060568,1.17570079,0.00000000,1.17570079,3.77570079,2,1.17570079
4060590,2.17318079,0.00000000,2.17318079,5.94888158,4,1.17318079
4061284,0.01950000,0.00000000,0.01950000,5.96838158,5,0.01950000
4061628,2.40000000,0.00000000,2.40000000,8.36838158,6,2.40000000
4061636,249.44171338,247.96171338,1.48000000,9.84838158,27,106.80000000
4061637,326.22118305,325.98118305,0.24000000,10.08838158,33,319.50000000
4061638,5.25000000,5.00000000,0.25000000,10.33838158,36,4.00000000
4061640,16.95000000,0.00000000,16.95000000,27.28838158,40,10.00000000
4061642,4.90000000,4.90000000,0.00000000,27.28838158,43,2.00000000
4061644,100.50000000,100.50000000,0.00000000,27.28838158,45,100.00000000
4061645,11.00000000,1.00000000,10.00000000,37.28838158,46,10.00000000
4061646,3.90100000,0.00000000,3.90100000,41.18938158,47,3.90000000
4061647,0.20000000,0.20000000,0.00000000,41.18938158,47,0.20000000
4061648,1.65100000,1.65100000,0.00000000,41.18938158,49,1.46200000
4061649,1.57500000,0.10000000,1.47500000,42.66438158,50,1.47500000
4061653,10.00000000,0.00000000,10.00000000,52.66438158,50,10.00000000
4061654,3.10100000,2.90100000,0.20000000,52.86438158,53,1.80000000
4061656,19.00000000,19.00000000,0.00000000,52.86438158,57,10.00000000
4061657,0.45000000,0.45000000,0.00000000,52.86438158,58,0.45000000
4061659,0.50000000,0.20000000,0.30000000,53.16438158,59,0.20000000
4061662,15.11000000,5.11000000,10.00000000,63.16438158,62,10.00000000
4061664,17.58226910,17.58226910,0.00000000,63.16438158,63,17.58226910
4061665,1.56950000,0.10000000,1.46950000,64.63388158,64,1.46950000
4061666,13.40000000,13.40000000,0.00000000,64.63388158,66,8.00000000
4061669,11.00000000,11.00000000,0.00000000,64.63388158,66,10.00000000
4061670,0.50000000,0.00000000,0.50000000,65.13388158,67,0.50000000
4061671,0.50000000,0.50000000,0.00000000,65.13388158,67,0.50000000
4061673,13.10000000,11.20000000,1.90000000,67.03388158,69,10.00000000
4061678,3.00000000,3.00000000,0.00000000,67.03388158,69,3.00000000
4061684,5.00000000,0.00000000,5.00000000,72.03388158,70,5.00000000
4061685,39.46425000,38.46425000,1.00000000,73.03388158,70,37.00000000
4061693,9.99000000,9.99000000,0.00000000,73.03388158,71,7.99000000
4061695,0.09000000,0.00000000,0.09000000,73.12388158,72,0.09000000
4061698,2.84000000,0.99000000,1.85000000,74.97388158,73,1.85000000
4061709,0.43011417,0.43011417,0.00000000,74.97388158,73,0.43011417
4061714,2.00000000,2.00000000,0.00000000,74.97388158,74,1.00000000
4061719,0.01000000,0.01000000,0.00000000,74.97388158,74,0.01000000
4061722,1.85000000,1.85000000,0.00000000,74.97388158,74,1.85000000
4061723,2.00000000,2.00000000,0.00000000,74.97388158,75,2.00000000
4061724,3.50000000,3.50000000,0.00000000,74.97388158,76,3.50000000
4061726,2.50000000,2.50000000,0.00000000,74.97388158,76,2.50000000
4061729,1.00000000,1.00000000,0.00000000,74.97388158,77,1.00000000
4061731,0.18639658,0.18639658,0.00000000,74.97388158,77,0.18639658
4061741,3.30000000,3.30000000,0.00000000,74.97388158,78,3.30000000
4061755,0.04622652,0.04622652,0.00000000,74.97388158,78,0.04622652
4061768,5.00000000,0.00000000,5.00000000,79.97388158,78,5.00000000
4061775,0.01000000,0.01000000,0.00000000,79.97388158,79,0.01000000
4061787,3.70000000,3.70000000,0.00000000,79.97388158,80,3.70000000
4061789,0.90000000,0.00000000,0.90000000,80.87388158,81,0.90000000
4061791,5.00000000,0.00000000,5.00000000,85.87388158,82,5.00000000
4061799,2.00000000,2.00000000,0.00000000,85.87388158,83,2.00000000
4061800,1.02000000,1.02000000,0.00000000,85.87388158,84,1.02000000
4061803,0.30000000,0.30000000,0.00000000,85.87388158,85,0.30000000
4061809,0.10000000,0.10000000,0.00000000,85.87388158,85,0.10000000
4061810,1.00000000,1.00000000,0.00000000,85.87388158,86,1.00000000
4061812,0.10000000,0.00000000,0.10000000,85.97388158,87,0.10000000
4061835,1.00000000,1.00000000,0.00000000,85.97388158,88,1.00000000
4061844,0.18000000,0.18000000,0.00000000,85.97388158,89,0.18000000
