block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1014296,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
1014307,3.00000000,1.80000000,1.20000000,2.20000000,2,3.00000000
1015290,1.00000000,0.00000000,1.00000000,3.20000000,3,1.00000000
1018026,2.50000000,0.00000000,2.50000000,5.70000000,4,2.50000000
1018113,1.00000000,0.00000000,1.00000000,6.70000000,5,1.00000000
1018216,1.00000000,0.00000000,1.00000000,7.70000000,6,1.00000000
1018219,4.00000000,5.40000000,-1.40000000,6.30000000,6,5.40000000
1018271,3.00000000,0.00000000,3.00000000,9.30000000,7,3.00000000
1018282,1.00000000,0.00000000,1.00000000,10.30000000,8,1.00000000
1018284,24.00000000,0.00000000,24.00000000,34.30000000,8,3.00000000
1018285,3.00000000,0.00000000,3.00000000,37.30000000,8,3.00000000
1018286,24.00000000,0.00000000,24.00000000,61.30000000,8,3.00000000
1018287,24.00000000,0.00000000,24.00000000,85.30000000,8,3.00000000
1018291,3.00000000,1.80000000,1.20000000,86.50000000,8,3.00000000
1018292,3.00000000,1.80000000,1.20000000,87.70000000,8,3.00000000
1018326,9.99500000,7.20000000,2.79500000,90.49500000,9,9.99500000
1018330,4.00000000,1.80000000,2.20000000,92.69500000,10,4.00000000
1018346,1.00000000,5.40000000,-4.40000000,88.29500000,10,5.40000000
1018397,3.00000000,0.00000000,3.00000000,91.29500000,11,3.00000000
1018404,3.00000000,0.00000000,3.00000000,94.29500000,11,3.00000000
1018405,3.00000000,0.00000000,3.00000000,97.29500000,11,3.00000000
1018436,3.00000000,0.00000000,3.00000000,100.29500000,11,3.00000000
1018474,10.00000000,5.40000000,4.60000000,104.89500000,12,10.00000000
1018540,2.00100000,0.00000000,2.00100000,106.89600000,13,2.00100000
1018555,3.00000000,0.00000000,3.00000000,109.89600000,13,3.00000000
1018592,5.00000000,0.00000000,5.00000000,114.89600000,14,5.00000000
1018664,1.00000000,0.00000000,1.00000000,115.89600000,15,1.00000000
1018678,2.50000000,0.00000000,2.50000000,118.39600000,16,2.50000000
1018710,0.00000000,6.24950000,-6.24950000,112.14650000,16,6.24950000
1018742,1.00000000,0.00000000,1.00000000,113.14650000,17,1.00000000
1018820,2.00000000,17.99100000,-15.99100000,97.15550000,18,17.99100000
1018836,3.00000000,0.00000000,3.00000000,100.15550000,19,3.00000000
1018932,2.99000000,0.00000000,2.99000000,103.14550000,19,2.99000000
1018978,5.00000000,7.20000000,-2.20000000,100.94550000,20,7.20000000
1018981,15.00050000,1.80000000,13.20050000,114.14600000,21,10.00050000
1018998,3.00000000,0.00000000,3.00000000,117.14600000,22,2.00000000
1019051,7.29000000,0.00000000,7.29000000,124.43600000,23,7.29000000
