block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1240657,0.02000000,0.00000000,0.02000000,0.02000000,1,0.02000000
1240663,0.06000000,0.02400000,0.03600000,0.05600000,2,0.06000000
1245541,1.00000000,0.15400000,0.84600000,0.90200000,3,1.00000000
1252487,5.00000000,1.40000000,3.60000000,4.50200000,3,5.00000000
1265138,2.50000000,0.25000000,2.25000000,6.75200000,4,2.50000000
1265141,1.00000000,4.60000000,-3.60000000,3.15200000,4,4.50000000
1265149,0.50000000,0.05000000,0.45000000,3.60200000,4,0.50000000
1265151,0.50000000,0.05000000,0.45000000,4.05200000,4,0.50000000
1265161,0.50000000,0.05000000,0.45000000,4.50200000,4,0.50000000
7133943,0.00000000,0.00000000,0.00000000,4.50200000,5,0.00000000
7133945,0.00000000,0.00000000,0.00000000,4.50200000,5,0.00000000
7133946,0.00000000,0.00000000,0.00000000,4.50200000,5,0.00000000
7133951,0.00000000,0.00000000,0.00000000,4.50200000,5,0.00000000
7133955,0.00000000,0.00000000,0.00000000,4.50200000,5,0.00000000
7133961,0.00000000,0.00000000,0.00000000,4.50200000,5,0.00000000
