block,timestamp,from,to,action,amount_eth,contract_balance_eth,participant_count
4,1779322365,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,1,1
7,1779322366,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,2,2
10,1779322367,0x90f79bf6eb2c4f870365e785982e1f101e93b906,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,3,3
13,1779322368,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,4,4
16,1779322369,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,5,5
19,1779322370,0x976ea74026e726554db657fa54763abd0c3a0aa9,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,6,6
22,1779322371,0x14dc79964da2c08b23698b3d3cc7ca32193d9955,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,7,7
25,1779322372,0x23618e81e3f5cdf7f54c3d65f7fbc0abf5b21e8f,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,8,8
28,1779322373,0xa0ee7a142d267c1f36714e4a8f75612f20a79720,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,9,9
31,1779322374,0xbcd4042de499d14e55001ccbb24a551f3b954096,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,1.0,10,10
37,1779322378,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x71be63f3384f5fb98995898a86b02fb2426c5788,withdraw,2.4,7.6,10
43,1779322382,0x5fbdb2315678afecb367f032d93f642f64180aa3,0xfabb0ac9d68b0b445fb7357272ff202c5651694a,withdraw,2.4,5.2,10
49,1779322388,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x1cbd3b2770909d4e10f157cabc84c7264073c9ec,withdraw,2.4,2.8,10
55,1779322392,0x5fbdb2315678afecb367f032d93f642f64180aa3,0xdf3e18d64bc6a983f673ab319ccae4f1a57c7097,withdraw,2.4,0.4,10
