block,timestamp,from,to,action,amount_eth,contract_balance_eth,participant_count
3,1778061488,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,10.0,10,1
5,1778061490,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,withdraw,10.0,0,1
7,1778061492,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,15.0,15,2
9,1778061494,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,withdraw,15.0,0,2
11,1778061496,0x90f79bf6eb2c4f870365e785982e1f101e93b906,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,8.0,8,3
13,1778061498,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x90f79bf6eb2c4f870365e785982e1f101e93b906,withdraw,8.0,0,3
15,1778061500,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,20.0,20,4
17,1778061502,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,withdraw,20.0,0,4
19,1778061504,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,0x5fbdb2315678afecb367f032d93f642f64180aa3,deposit,12.0,12,5
21,1778061506,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,withdraw,12.0,0,5
