block,timestamp,from,to,action,amount_eth,contract_balance_eth,participant_count
1,1778061467,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x5fbdb2315678afecb367f032d93f642f64180aa3,fund_reward_pool,5.0,5.0,0
4,1778061468,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,0x5fbdb2315678afecb367f032d93f642f64180aa3,stake,1.0,6,1
7,1778061469,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,0x5fbdb2315678afecb367f032d93f642f64180aa3,stake,1.0,7,2
10,1778061470,0x90f79bf6eb2c4f870365e785982e1f101e93b906,0x5fbdb2315678afecb367f032d93f642f64180aa3,stake,1.0,8,3
13,1778061471,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,0x5fbdb2315678afecb367f032d93f642f64180aa3,stake,1.0,9,4
16,1778061472,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,0x5fbdb2315678afecb367f032d93f642f64180aa3,stake,1.0,10,5
19,1778061473,0x976ea74026e726554db657fa54763abd0c3a0aa9,0x5fbdb2315678afecb367f032d93f642f64180aa3,stake,1.0,11,6
22,1778061474,0x14dc79964da2c08b23698b3d3cc7ca32193d9955,0x5fbdb2315678afecb367f032d93f642f64180aa3,stake,1.0,12,7
25,1778061475,0x23618e81e3f5cdf7f54c3d65f7fbc0abf5b21e8f,0x5fbdb2315678afecb367f032d93f642f64180aa3,stake,1.0,13,8
28,1778061476,0xa0ee7a142d267c1f36714e4a8f75612f20a79720,0x5fbdb2315678afecb367f032d93f642f64180aa3,stake,1.0,14,9
31,1778061477,0xbcd4042de499d14e55001ccbb24a551f3b954096,0x5fbdb2315678afecb367f032d93f642f64180aa3,stake,1.0,15,10
53,1778061480,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x70997970c51812dc3a010c7d01b50e0d17dc79c8,unstake,1.049,13.951,10
55,1778061482,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,unstake,1.048,12.903,10
57,1778061484,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x90f79bf6eb2c4f870365e785982e1f101e93b906,unstake,1.047,11.856,10
59,1778061486,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,unstake,1.046,10.81,10
61,1778061488,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,unstake,1.045,9.765,10
63,1778061490,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x976ea74026e726554db657fa54763abd0c3a0aa9,unstake,1.044,8.721,10
65,1778061492,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x14dc79964da2c08b23698b3d3cc7ca32193d9955,unstake,1.043,7.678,10
67,1778061494,0x5fbdb2315678afecb367f032d93f642f64180aa3,0x23618e81e3f5cdf7f54c3d65f7fbc0abf5b21e8f,unstake,1.042,6.636,10
69,1778061496,0x5fbdb2315678afecb367f032d93f642f64180aa3,0xa0ee7a142d267c1f36714e4a8f75612f20a79720,unstake,1.041,5.595,10
71,1778061498,0x5fbdb2315678afecb367f032d93f642f64180aa3,0xbcd4042de499d14e55001ccbb24a551f3b954096,unstake,1.04,4.555,10
